dataset,representation,detector,seed,precision,recall,f1,roc_auc,pr_auc,fpr,precision_point,precision_ci_low,precision_ci_high,precision_mean,precision_std,recall_point,recall_ci_low,recall_ci_high,recall_mean,recall_std,f1_point,f1_ci_low,f1_ci_high,f1_mean,f1_std,roc_auc_point,roc_auc_ci_low,roc_auc_ci_high,roc_auc_mean,roc_auc_std,pr_auc_point,pr_auc_ci_low,pr_auc_ci_high,pr_auc_mean,pr_auc_std,fpr_point,fpr_ci_low,fpr_ci_high,fpr_mean,fpr_std
DoS,raw,isolation_forest,0,0.0,0.0,0.0,0.8259218833464455,0.45869826007438336,0.0010639489304513383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8259218833464455,0.8057973251639529,0.843388786485391,0.8262389561684603,0.009197092437433147,0.45869826007438336,0.4410019585564958,0.4797012859950947,0.46030783168811007,0.01002598511176711,0.0010639489304513383,0.0004946159852868003,0.0017344669817056092,0.0010634166261201446,0.00031970395798854256
DoS,raw,one_class_svm,0,0.3118279569892473,0.00994172094617758,0.019269102990033225,0.9860065270175224,0.8717697335159855,0.0071676559525142795,0.3118279569892473,0.0,0.539063303755144,0.2978899583612951,0.12851655517760252,0.00994172094617758,0.0,0.024124307299531255,0.010293071020954926,0.005973223970647018,0.019269102990033225,0.0,0.04605317221357796,0.019877794759702073,0.011415238367650874,0.9860065270175224,0.9840944482614278,0.9875840684575373,0.9859561370860654,0.0008495024562009881,0.8717697335159855,0.8545553878420005,0.8887531352708878,0.8714844807182937,0.009075555369732667,0.0071676559525142795,0.0059015458790020615,0.008469989175822356,0.007177529844027919,0.0006946755153936888
DoS,raw,lof,0,0.0,0.0,0.0,0.9628802706054271,0.7442528334939085,0.004143801097547317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9628802706054271,0.9593786531913497,0.9656885661870266,0.9627649431241321,0.0016873275365613034,0.7442528334939085,0.7217262980712477,0.7654663313653696,0.7439009945147416,0.011180826585093796,0.004143801097547317,0.0029691342514391902,0.005574233679110243,0.00421940472348339,0.0007005685924525046
DoS,raw,hbos,0,0.2188679245283019,0.00994172094617758,0.01901951139531071,0.25062287171340214,0.3004832883295875,0.011591443610706686,0.2188679245283019,0.0,0.39666879523201354,0.21182552211741698,0.09792901587075098,0.00994172094617758,0.0,0.024124307299531255,0.010293071020954926,0.005973223970647018,0.01901951139531071,0.0,0.04538674023125501,0.019613039415147623,0.011252416207283357,0.25062287171340214,0.23965010122049005,0.26458351422333726,0.25114067785594263,0.006491494612090581,0.3004832883295875,0.27784776636306985,0.3252501850515801,0.3012132007753959,0.012562478257120075,0.011591443610706686,0.010272952846470092,0.013230263520590991,0.011656328477071471,0.0007335640489208619
DoS,raw,elliptic_envelope,0,0.0,0.0,0.0,0.6581986169566156,0.29636091339282533,0.007335647888901333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6581986169566156,0.6270921103722703,0.6884500402521254,0.658893887430157,0.01577645254638225,0.29636091339282533,0.2808101280824201,0.31356659462651776,0.2972792586657979,0.008180232341363367,0.007335647888901333,0.00626174079836469,0.008534103750933528,0.007363347652485593,0.0006022067564634607
DoS,raw,autoencoder,0,0.25217391304347825,0.00994172094617758,0.01912928759894459,0.8687092145391213,0.49731702382639636,0.009631537686191063,0.25217391304347825,0.0,0.44372342476160237,0.24293461239394507,0.10795196754905824,0.00994172094617758,0.0,0.024124307299531255,0.010293071020954926,0.005973223970647018,0.01912928759894459,0.0,0.04577066984085391,0.01972806619061742,0.011314316691151863,0.8687092145391213,0.8581662033911303,0.8767230116584516,0.8685661657500409,0.0048002782477570526,0.49731702382639636,0.4761991090204912,0.5189025705269307,0.49762685448892385,0.01140780851109621,0.009631537686191063,0.008563829468751324,0.010686620327736419,0.009626712020587864,0.0005592774355860965
DoS,residual,isolation_forest,0,0.05576923076923077,0.00994172094617758,0.016875181844631947,0.8936678423734599,0.6304890448608542,0.05498936051069549,0.05576923076923077,0.0,0.12464370895964978,0.056540948892945746,0.03067605180855805,0.00994172094617758,0.0,0.024124307299531255,0.010293071020954926,0.005973223970647018,0.016875181844631947,0.0,0.03984493875730668,0.017404277563767896,0.009985348945196777,0.8936678423734599,0.8824891147793712,0.9030654381041537,0.89371884612599,0.005243291539787202,0.6304890448608542,0.6068606603635961,0.6568165593747386,0.631428713835826,0.013065346119317407,0.05498936051069549,0.04991773475285571,0.06148163161463027,0.05506661848431715,0.003070137614870962
DoS,residual,one_class_svm,0,0.04978540772532189,0.00994172094617758,0.016573796256608087,0.7908864364911582,0.39549217166646206,0.061989024526822714,0.04978540772532189,0.0,0.1095407310081223,0.05084119362929521,0.027862827004009137,0.00994172094617758,0.0,0.024124307299531255,0.010293071020954926,0.005973223970647018,0.016573796256608087,0.0,0.039528532653789326,0.01710493708947382,0.009812410790667643,0.7908864364911582,0.7819981076772025,0.7987816166271008,0.7912157767999498,0.004312146186248161,0.39549217166646206,0.37102360273771434,0.42376302904977337,0.3961011096517595,0.01415015532955071,0.061989024526822714,0.05597788003400576,0.0682118441212656,0.06176742940521266,0.003099186264709561
DoS,residual,lof,0,0.0,0.0,0.0,0.8497458505262231,0.46891951653735775,0.017807145257027663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8497458505262231,0.8409577487805412,0.8591704690392108,0.8502233880186151,0.004414786266009038,0.46891951653735775,0.440323391385886,0.4989725361738587,0.4697816972026006,0.01529141775688276,0.017807145257027663,0.015002270465735467,0.020108762524702433,0.017583650726283952,0.0013524908083635905
DoS,residual,hbos,0,0.2529207451847174,0.13729859444634898,0.17798022441950898,0.7559967227846632,0.5119731662585943,0.13248964049725614,0.2529207451847174,0.19264807825561195,0.3263500994698617,0.2543571452281431,0.034661133754042,0.13729859444634898,0.0995642249186105,0.1831760581329795,0.138181797798631,0.021834491148579094,0.17798022441950898,0.1320755842053608,0.23441053919509752,0.17899405625650883,0.026704748563361237,0.7559967227846632,0.7229850165799392,0.7860073067846283,0.7567480351538345,0.016253524109416922,0.5119731662585943,0.4930368386173823,0.5355440982911801,0.5136517530402128,0.011157426536690194,0.13248964049725614,0.1154136355357643,0.1524181114022396,0.13210825805865362,0.009372020142892767
DoS,residual,elliptic_envelope,0,0.020131898646303367,0.00994172094617758,0.013310384394721745,0.6776019159719346,0.31011474281208323,0.15808041214021726,0.020131898646303367,0.0,0.04736191829310861,0.020860491475815746,0.011938671994590916,0.00994172094617758,0.0,0.024124307299531255,0.010293071020954926,0.005973223970647018,0.013310384394721745,0.0,0.031707295781115245,0.01377424434666,0.007944581342007751,0.6776019159719346,0.6432732146001658,0.7116382373713276,0.6783965018081634,0.016792495665377688,0.31011474281208323,0.2948444111891051,0.32819336924959436,0.3115469646003087,0.008870871775085252,0.15808041214021726,0.1416815655578356,0.17985719523447588,0.15746381971867157,0.009937980195778727
DoS,residual,autoencoder,0,0.05466540999057493,0.00994172094617758,0.016823785351704135,0.6209129688891833,0.27744553181910675,0.05616530406540486,0.05466540999057493,0.0,0.12031810520846169,0.0559100999123791,0.030477859486046775,0.00994172094617758,0.0,0.024124307299531255,0.010293071020954926,0.005973223970647018,0.016823785351704135,0.0,0.04020100314136859,0.01736783504700209,0.00996134437233358,0.6209129688891833,0.6057973991146856,0.6361071814238091,0.6215455794059236,0.00784706026769182,0.27744553181910675,0.25834382925753135,0.29816950515785684,0.27808765126012275,0.010578607659315235,0.05616530406540486,0.05067364456734786,0.061165125032039504,0.05574033057133393,0.0027543683777589306
Fuzzy,raw,isolation_forest,0,0.3458646616541353,0.10648148148148148,0.16283185840707964,0.8668615745752454,0.2909264464063234,0.013454301768132377,0.3458646616541353,0.2960834326963359,0.39737538699690406,0.3446158346754244,0.02326549703887725,0.10648148148148148,0.08355265760429398,0.13448067632850239,0.10603152393847111,0.012327590587035083,0.16283185840707964,0.13033706467661693,0.19951746810144003,0.1619667447991393,0.016293075089794367,0.8668615745752454,0.852300591746266,0.8826505611083744,0.867233824764787,0.00821582186803736,0.2909264464063234,0.2688082798815653,0.3177448141511369,0.2915164463782032,0.01266748257932638,0.013454301768132377,0.011654339965124726,0.015296622409535705,0.013373150922947614,0.0009659075318366301
Fuzzy,raw,one_class_svm,0,0.4283347141673571,0.39891975308641975,0.41310427487015583,0.6100992223730509,0.2268208570023058,0.03556884375483272,0.4283347141673571,0.37923248036327933,0.483178071468042,0.4290214196854835,0.02585304692995621,0.39891975308641975,0.3496984232522796,0.4401100479896067,0.39723699275854235,0.023939945683195303,0.41310427487015583,0.37542531310687416,0.45047531720524303,0.4119270265005368,0.019341673456638172,0.6100992223730509,0.5759228126098205,0.6412409936766174,0.6093690311324762,0.017177435687648533,0.2268208570023058,0.19827153714910586,0.2579264427123829,0.22713001948887282,0.01567470700506992,0.03556884375483272,0.02904580662051408,0.041879777906216206,0.03524530787443319,0.003099668565855405
Fuzzy,raw,lof,0,0.2972292191435768,0.09104938271604938,0.13939751919669224,0.6646396872627391,0.17485492627757113,0.014382184648693232,0.2972292191435768,0.22188143365150664,0.37838153574134886,0.2953282519872624,0.039958328707148896,0.09104938271604938,0.06614153199963377,0.11255181440928533,0.09023829025983844,0.012064489072058135,0.13939751919669224,0.10294715351762333,0.16977159400083267,0.13802964185964883,0.01774257466457918,0.6646396872627391,0.6402905954778931,0.6883793177700983,0.6645004784415443,0.012233736747836574,0.17485492627757113,0.1427756731852384,0.20630486476695398,0.17435451387088086,0.016649084714650583,0.014382184648693232,0.012110080279125201,0.016913213116887184,0.014344692486097686,0.0012241568456902018
Fuzzy,raw,hbos,0,0.2908093278463649,0.16358024691358025,0.20938271604938272,0.7781902894956403,0.25280528214563375,0.02665085829166452,0.2908093278463649,0.2526140626499974,0.3374446491326136,0.2941256816446695,0.021178282079170007,0.16358024691358025,0.13308063468084755,0.20196434992551493,0.16375617121656907,0.01602964869238419,0.20938271604938272,0.17918817041806145,0.24368467165656107,0.20980479373436794,0.0152114403676697,0.7781902894956403,0.758581629355008,0.7996392878917761,0.7785571865897714,0.010671518952631529,0.25280528214563375,0.23143452036583584,0.2811619079910141,0.25376523505465526,0.01306231271458196,0.02665085829166452,0.021323313985744698,0.0324174052387397,0.026221801881195404,0.0029345058510164327
Fuzzy,raw,elliptic_envelope,0,0.20084269662921347,0.33101851851851855,0.25,0.8388982440866558,0.22115684237515243,0.08799422650652096,0.20084269662921347,0.17879280640933498,0.22872860238353193,0.2017386905327468,0.013103287899523286,0.33101851851851855,0.271959865383928,0.3923308946219997,0.3296833366051588,0.028583184905112476,0.25,0.22523177555726814,0.27568201796021047,0.2496346558340835,0.013061797193753118,0.8388982440866558,0.8177838049512619,0.8598980663425404,0.8392583889301259,0.011314835814662328,0.22115684237515243,0.201833816068392,0.2482287180886391,0.22279390172320532,0.012175760614309448,0.08799422650652096,0.06872772292543322,0.10810006646678529,0.08713615556616268,0.009969827716969063
