capture,attack_type,detector,delta_f1,delta_roc_auc,delta_pr_auc,delta_recall,raw_f1,residual_f1,raw_roc_auc,residual_roc_auc,residual_fpr,raw_fpr
correlated_signal_attack_1,correlated_signal_attack,autoencoder,0.49059776792539367,0.16752554392329433,0.17181756031589568,0.9993771410775459,0.0,0.49059776792539367,0.7739739579286984,0.9414995018519927,0.18371849318846176,0.009845016822017539
correlated_signal_attack_1,correlated_signal_attack,elliptic_envelope,0.501211221380011,0.17020266756140856,0.243350282072669,0.9987542821550919,0.0,0.501211221380011,0.7711709811295664,0.941373648690975,0.17591418013347307,0.01784236942253599
correlated_signal_attack_1,correlated_signal_attack,hbos,0.46184883637149654,0.5394532311394903,0.3245935556102479,0.9981314232326378,0.0,0.46184883637149654,0.39340246708953575,0.932855698229026,0.20580773261265237,0.013733384810545474
correlated_signal_attack_1,correlated_signal_attack,isolation_forest,0.5332223147377185,0.1553750026559363,0.3230807737438907,0.9971971348489567,0.0,0.5332223147377185,0.8033469812529632,0.9587219839088995,0.15434890519000607,0.01442281175886603
correlated_signal_attack_1,correlated_signal_attack,lof,0.3726412355571039,0.4560109793699925,0.3197278165976023,0.9993771410775459,0.0,0.3726412355571039,0.48535899352236683,0.9413699728923594,0.2979151729082786,0.014781313771992719
correlated_signal_attack_1,correlated_signal_attack,one_class_svm,0.33905284831846255,0.16412382848304552,0.23390675873092895,1.0,0.0,0.33905284831846255,0.7810214085897332,0.9451452370727788,0.3452374386410016,0.015332855330649164
fuzzing_attack_1,fuzzing_attack,autoencoder,0.1348737915436803,-0.1306777646390171,-0.12349343402630153,0.21566857257498245,0.11095674724460498,0.24583053878828529,0.5893287040382093,0.45865093939919216,0.3557940547318728,0.008445821346905658
fuzzing_attack_1,fuzzing_attack,elliptic_envelope,0.01914849802666352,-0.11785408780644802,-0.1462564988926494,0.13792757548400036,0.22943757479058635,0.24858607281724987,0.603667278425182,0.48581319061873396,0.3632809618647193,0.0416021243637973
fuzzing_attack_1,fuzzing_attack,hbos,0.09641345543473644,-0.11445013361587625,-0.08517930351048819,0.12237937606580399,0.10642334447556238,0.20283679991029882,0.6018701920040049,0.4874200583881287,0.2234638931917091,0.01884635243785498
fuzzing_attack_1,fuzzing_attack,isolation_forest,0.09718173282189516,-0.08648018009772918,-0.09184511805636136,0.11535760858661852,0.10837710810063589,0.20555884092253104,0.5884999195669888,0.5020197394692596,0.19189348675960757,0.010843106882053552
fuzzing_attack_1,fuzzing_attack,lof,0.2202853488521781,-0.020763773909934502,0.016869978710589095,0.28247567459123285,0.029378742514970062,0.24966409136714815,0.47870043516845134,0.45793666125851684,0.40104742937228,0.020727299550047946
fuzzing_attack_1,fuzzing_attack,one_class_svm,0.07711003229613916,-0.14334995763550645,-0.15138881050957648,0.2026281472564951,0.17687549011065612,0.2539855224067953,0.6103096999829072,0.46695974234740073,0.4018219370067124,0.01818248875119864
max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,autoencoder,-0.33011728175679456,0.005280283459676127,0.6124213318571284,0.2647058823529411,0.5415162454873645,0.21139896373056996,0.9947197165403239,1.0,0.05478761699064075,0.007199424046076314
max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,elliptic_envelope,-0.33290941613160047,0.007548807860077056,0.6999083356557014,0.16666666666666663,0.5501618122977346,0.21725239616613418,0.9924511921399229,1.0,0.052915766738660906,0.008783297336213103
max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,hbos,0.26390685640362227,0.1943886841993816,0.978254171832047,1.0,0.0,0.26390685640362227,0.8056113158006184,1.0,0.04096472282217423,0.01216702663786897
max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,isolation_forest,0.26597131681877445,0.023335309645816538,0.86822438484869,1.0,0.0,0.26597131681877445,0.9766646903541835,1.0,0.040532757379409645,0.009575233981281498
max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,lof,0.1783216783216783,0.23021852369457496,0.984332575550826,1.0,0.0,0.1783216783216783,0.769781476305425,1.0,0.06767458603311735,0.011879049676025918
max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,one_class_svm,0.1447518914502895,0.005659311960925395,0.10530546176212838,0.9705882352941176,0.02553191489361702,0.17028380634390652,0.9853054108612488,0.9909647228221742,0.07156227501799856,0.009359251259899209
reverse_light_off_attack_1,reverse_light_off_attack,autoencoder,0.5429023329379201,0.09425708526838439,0.520488303247343,1.0,0.0,0.5429023329379201,0.898301960791656,0.9925590460600404,0.08740359897172237,0.03459095720550431
reverse_light_off_attack_1,reverse_light_off_attack,elliptic_envelope,0.591937917654667,0.09438798239887902,0.4776044394212081,1.0,0.0,0.591937917654667,0.896323167338297,0.990711149737176,0.07156358687433842,0.017314380765159534
reverse_light_off_attack_1,reverse_light_off_attack,hbos,0.5566632756866734,0.2667447276871605,0.6849288207291973,0.9963583394027676,0.0,0.5566632756866734,0.7246441189521755,0.991388846639336,0.08218660214728565,0.011794949342204748
reverse_light_off_attack_1,reverse_light_off_attack,isolation_forest,0.711040676175383,0.20374738604983522,0.5293554395844886,0.9803350327749454,0.0,0.711040676175383,0.7826541807948744,0.9864015668447096,0.04033721457734765,0.013080296385906548
reverse_light_off_attack_1,reverse_light_off_attack,lof,0.48979432770478926,0.3023092770436391,0.6267738265071441,0.9963583394027676,0.005963029218843173,0.49575735692363243,0.689802339826132,0.9921116168697711,0.10558747920762135,0.011303493119612883
reverse_light_off_attack_1,reverse_light_off_attack,one_class_svm,0.5024702653247941,0.18081637847454224,0.612409862699213,1.0,0.0,0.5024702653247941,0.808978326144546,0.9897947046190883,0.1027899591713292,0.00884621200665356
reverse_light_on_attack_1,reverse_light_on_attack,autoencoder,-0.17348304984319152,0.007345162294598362,0.12769535580415303,0.05529454282616553,0.8874554405024614,0.7139723906592699,0.9890000992575532,0.9963452615521515,0.0704570012076527,0.016207970507849744
reverse_light_on_attack_1,reverse_light_on_attack,elliptic_envelope,0.7695730774579335,0.14612748184368918,0.6406324674726062,1.0,0.0,0.7695730774579335,0.8502168034423192,0.9963442852860084,0.052660013983347104,0.015159219474988876
reverse_light_on_attack_1,reverse_light_on_attack,hbos,0.7571487207552332,0.1724849793414044,0.48186697887927044,1.0,0.0,0.7571487207552332,0.8142013691569868,0.9866863484983912,0.05641009343418293,0.014587173457064768
reverse_light_on_attack_1,reverse_light_on_attack,isolation_forest,0.7767017543859649,0.1936604446660274,0.6532405404993259,1.0,0.0,0.7767017543859649,0.7990938688166146,0.992754313482642,0.050562511917625376,0.013252399415241848
reverse_light_on_attack_1,reverse_light_on_attack,lof,0.7858562908264698,0.4363355829644636,0.784766380839495,1.0,0.0,0.7858562908264698,0.5600096785876879,0.9963452615521515,0.04792474416830865,0.038835568550181145
reverse_light_on_attack_1,reverse_light_on_attack,one_class_svm,0.6624371558534834,0.2707618156170468,0.7347260165141701,1.0,0.0,0.6624371558534834,0.7219128173200916,0.9926746329371384,0.08962054280811034,0.014078688107798894
