attack_type,detector,representation,n_captures,f1_mean,f1_std,f1_fmt,recall_mean,recall_std,recall_fmt,precision_mean,precision_std,precision_fmt,roc_auc_mean,roc_auc_std,roc_auc_fmt,pr_auc_mean,pr_auc_std,pr_auc_fmt,fpr_mean,fpr_std,fpr_fmt,protocol_version,phase,source_table
max_engine_coolant_temp_attack,lof,residual,1,0.1783216783216783,,0.178 (n=1; std n/a),1.0,,1.000 (n=1; std n/a),0.0978886756238003,,0.098 (n=1; std n/a),1.0,,1.000 (n=1; std n/a),1.0,,1.000 (n=1; std n/a),0.0676745860331173,,0.068 (n=1; std n/a),pre_injection_v1,workshop,road_representation_results.csv
max_engine_coolant_temp_attack,one_class_svm,residual,1,0.1702838063439065,,0.170 (n=1; std n/a),1.0,,1.000 (n=1; std n/a),0.0930656934306569,,0.093 (n=1; std n/a),0.9909647228221742,,0.991 (n=1; std n/a),0.2889518413597733,,0.289 (n=1; std n/a),0.0715622750179985,,0.072 (n=1; std n/a),pre_injection_v1,workshop,road_representation_results.csv
max_speedometer_attack,autoencoder,residual,1,0.1786207397718189,,0.179 (n=1; std n/a),1.0,,1.000 (n=1; std n/a),0.0980689435046281,,0.098 (n=1; std n/a),0.8607448057200894,,0.861 (n=1; std n/a),0.1923644272596353,,0.192 (n=1; std n/a),0.6707713306529383,,0.671 (n=1; std n/a),pre_injection_v1,workshop,road_representation_results.csv
max_speedometer_attack,elliptic_envelope,residual,1,0.1834602179429765,,0.183 (n=1; std n/a),1.0,,1.000 (n=1; std n/a),0.1009943298545484,,0.101 (n=1; std n/a),0.8501132755195674,,0.850 (n=1; std n/a),0.1832690748444026,,0.183 (n=1; std n/a),0.6492292627924573,,0.649 (n=1; std n/a),pre_injection_v1,workshop,road_representation_results.csv
max_speedometer_attack,hbos,residual,1,0.2603399883493089,,0.260 (n=1; std n/a),1.0,,1.000 (n=1; std n/a),0.1496499238964992,,0.150 (n=1; std n/a),0.9886105714619616,,0.989 (n=1; std n/a),0.8609048457524776,,0.861 (n=1; std n/a),0.4144325920211266,,0.414 (n=1; std n/a),pre_injection_v1,workshop,road_representation_results.csv
max_speedometer_attack,isolation_forest,residual,1,0.252659711157938,,0.253 (n=1; std n/a),1.0,,1.000 (n=1; std n/a),0.1445967409847638,,0.145 (n=1; std n/a),0.995111716880384,,0.995 (n=1; std n/a),0.9176592364789032,,0.918 (n=1; std n/a),0.4314644748750055,,0.431 (n=1; std n/a),pre_injection_v1,workshop,road_representation_results.csv
max_speedometer_attack,lof,residual,1,0.1791708428246013,,0.179 (n=1; std n/a),1.0,,1.000 (n=1; std n/a),0.0984006885646229,,0.098 (n=1; std n/a),0.8542455706501996,,0.854 (n=1; std n/a),0.1870829733314933,,0.187 (n=1; std n/a),0.6682640238565049,,0.668 (n=1; std n/a),pre_injection_v1,workshop,road_representation_results.csv
max_speedometer_attack,one_class_svm,residual,1,0.1748719408081958,,0.175 (n=1; std n/a),1.0,,1.000 (n=1; std n/a),0.0958135183597099,,0.096 (n=1; std n/a),0.8551473970001335,,0.855 (n=1; std n/a),0.2011209753303604,,0.201 (n=1; std n/a),0.6882779698233016,,0.688 (n=1; std n/a),pre_injection_v1,workshop,road_representation_results.csv
reverse_light_off_attack,autoencoder,residual,1,0.5429023329379201,,0.543 (n=1; std n/a),1.0,,1.000 (n=1; std n/a),0.3725915875169606,,0.373 (n=1; std n/a),0.9925590460600404,,0.993 (n=1; std n/a),0.7072908707675953,,0.707 (n=1; std n/a),0.0874035989717223,,0.087 (n=1; std n/a),pre_injection_v1,workshop,road_representation_results.csv
reverse_light_off_attack,elliptic_envelope,residual,1,0.591937917654667,,0.592 (n=1; std n/a),1.0,,1.000 (n=1; std n/a),0.4203919167176975,,0.420 (n=1; std n/a),0.990711149737176,,0.991 (n=1; std n/a),0.665386880699311,,0.665 (n=1; std n/a),0.0715635868743384,,0.072 (n=1; std n/a),pre_injection_v1,workshop,road_representation_results.csv
reverse_light_off_attack,hbos,residual,1,0.5566632756866734,,0.557 (n=1; std n/a),0.9963583394027676,,0.996 (n=1; std n/a),0.3862224731789949,,0.386 (n=1; std n/a),0.991388846639336,,0.991 (n=1; std n/a),0.7975718016510704,,0.798 (n=1; std n/a),0.0821866021472856,,0.082 (n=1; std n/a),pre_injection_v1,workshop,road_representation_results.csv
reverse_light_off_attack,isolation_forest,residual,1,0.711040676175383,,0.711 (n=1; std n/a),0.9803350327749454,,0.980 (n=1; std n/a),0.5578118524658102,,0.558 (n=1; std n/a),0.9864015668447096,,0.986 (n=1; std n/a),0.6273951537411343,,0.627 (n=1; std n/a),0.0403372145773476,,0.040 (n=1; std n/a),pre_injection_v1,workshop,road_representation_results.csv
reverse_light_off_attack,lof,residual,1,0.4957573569236324,,0.496 (n=1; std n/a),1.0,,1.000 (n=1; std n/a),0.3295727316370619,,0.330 (n=1; std n/a),0.9921116168697712,,0.992 (n=1; std n/a),0.6980921030126103,,0.698 (n=1; std n/a),0.1055874792076213,,0.106 (n=1; std n/a),pre_injection_v1,workshop,road_representation_results.csv
reverse_light_off_attack,one_class_svm,residual,1,0.5024702653247941,,0.502 (n=1; std n/a),1.0,,1.000 (n=1; std n/a),0.3355327468230694,,0.336 (n=1; std n/a),0.9897947046190884,,0.990 (n=1; std n/a),0.7195824954485244,,0.720 (n=1; std n/a),0.1027899591713292,,0.103 (n=1; std n/a),pre_injection_v1,workshop,road_representation_results.csv
reverse_light_on_attack,autoencoder,residual,1,0.7139723906592699,,0.714 (n=1; std n/a),1.0,,1.000 (n=1; std n/a),0.5551765650080257,,0.555 (n=1; std n/a),0.9963452615521516,,0.996 (n=1; std n/a),0.8662916319322027,,0.866 (n=1; std n/a),0.0704570012076527,,0.070 (n=1; std n/a),pre_injection_v1,workshop,road_representation_results.csv
reverse_light_on_attack,elliptic_envelope,residual,1,0.7695730774579335,,0.770 (n=1; std n/a),1.0,,1.000 (n=1; std n/a),0.6254520795660036,,0.625 (n=1; std n/a),0.9963442852860084,,0.996 (n=1; std n/a),0.8662813573124564,,0.866 (n=1; std n/a),0.0526600139833471,,0.053 (n=1; std n/a),pre_injection_v1,workshop,road_representation_results.csv
reverse_light_on_attack,hbos,residual,1,0.7571487207552332,,0.757 (n=1; std n/a),1.0,,1.000 (n=1; std n/a),0.6092029942756495,,0.609 (n=1; std n/a),0.9866863484983912,,0.987 (n=1; std n/a),0.7502860338436459,,0.750 (n=1; std n/a),0.0564100934341829,,0.056 (n=1; std n/a),pre_injection_v1,workshop,road_representation_results.csv
reverse_light_on_attack,isolation_forest,residual,1,0.7767017543859649,,0.777 (n=1; std n/a),1.0,,1.000 (n=1; std n/a),0.6349242771913722,,0.635 (n=1; std n/a),0.992754313482642,,0.993 (n=1; std n/a),0.8179747708366609,,0.818 (n=1; std n/a),0.0505625119176253,,0.051 (n=1; std n/a),pre_injection_v1,workshop,road_representation_results.csv
reverse_light_on_attack,lof,residual,1,0.7858562908264698,,0.786 (n=1; std n/a),1.0,,1.000 (n=1; std n/a),0.6472514619883041,,0.647 (n=1; std n/a),0.9963452615521516,,0.996 (n=1; std n/a),0.8662916319322027,,0.866 (n=1; std n/a),0.0479247441683086,,0.048 (n=1; std n/a),pre_injection_v1,workshop,road_representation_results.csv
reverse_light_on_attack,one_class_svm,residual,1,0.6624371558534834,,0.662 (n=1; std n/a),1.0,,1.000 (n=1; std n/a),0.4952568462502237,,0.495 (n=1; std n/a),0.9926746329371384,,0.993 (n=1; std n/a),0.8571871127633209,,0.857 (n=1; std n/a),0.0896205428081103,,0.090 (n=1; std n/a),pre_injection_v1,workshop,road_representation_results.csv
