experiment,capture,attack_type,representation,detector,seed,protocol,n_pre,n_test,n_test_attack,precision,recall,f1,roc_auc,pr_auc,fpr,threshold,n_train_normals,train_seconds,score_seconds,runtime_seconds,peak_rss_mb,model_bytes,tp,fp,fn,tn,precision_point,precision_ci_low,precision_ci_high,precision_mean,precision_std,recall_point,recall_ci_low,recall_ci_high,recall_mean,recall_std,f1_point,f1_ci_low,f1_ci_high,f1_mean,f1_std,roc_auc_point,roc_auc_ci_low,roc_auc_ci_high,roc_auc_mean,roc_auc_std,pr_auc_point,pr_auc_ci_low,pr_auc_ci_high,pr_auc_mean,pr_auc_std,fpr_point,fpr_ci_low,fpr_ci_high,fpr_mean,fpr_std,error,protocol_version,n_captures,phase
road_representation,correlated_signal_attack_1,correlated_signal_attack,raw,isolation_forest,0.0,pre_injection_v1,19585.0,39473.0,3211.0,0.0,0.0,0.0,0.8033469812529632,0.1653907125083738,0.014422811758866,0.7014620518437052,15668.0,0.9054258999995,0.6368567999998049,1.542282699999305,280.28515625,2553103.0,0.0,523.0,3211.0,35739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8033469812529632,0.7977851923732854,0.8095285952991266,0.8032515394654778,0.0029228397666333,0.1653907125083738,0.1603079607668988,0.1702703490952727,0.165330966526192,0.002539610087905,0.014422811758866,0.0130842335335992,0.0159266539701625,0.0144829107355302,0.000747501146768,,pre_injection_v1,1,B
road_representation,correlated_signal_attack_1,correlated_signal_attack,raw,one_class_svm,0.0,pre_injection_v1,19585.0,39473.0,3211.0,0.0,0.0,0.0,0.7810214085897332,0.2133434258810177,0.0153328553306491,15.161593727145831,15668.0,0.1213657999996939,1.235981100000572,1.357346900000266,280.015625,29882.0,0.0,556.0,3211.0,35706.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7810214085897332,0.7690459971079119,0.7925083416450645,0.7808011223832049,0.0058743847759562,0.2133434258810177,0.1992644404261282,0.2271988457219775,0.2129673352110384,0.0074242058785644,0.0153328553306491,0.013742042470867,0.0170763867130744,0.0153805462203636,0.0008315996659909,,pre_injection_v1,1,B
road_representation,correlated_signal_attack_1,correlated_signal_attack,raw,lof,0.0,pre_injection_v1,19585.0,39473.0,3211.0,0.0,0.0,0.0,0.4853589935223668,0.0715462813685429,0.0147813137719927,3627.5529035979534,15668.0,0.1487857000001895,0.7279090000001815,0.8766947000003711,281.60546875,2514956.0,0.0,536.0,3211.0,35726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4853589935223668,0.4700375711249668,0.5002896704612267,0.4849461493648616,0.0073407817716451,0.0715462813685429,0.0694346056260295,0.0739587640885617,0.0715293532764683,0.0011291630913962,0.0147813137719927,0.013420904477191,0.0164247268861946,0.0148399434425983,0.0007930941932867,,pre_injection_v1,1,B
road_representation,correlated_signal_attack_1,correlated_signal_attack,raw,hbos,0.0,pre_injection_v1,19585.0,39473.0,3211.0,0.0,0.0,0.0,0.3934024670895357,0.0702276339492786,0.0137333848105454,35.34406106070503,15668.0,0.0100225000005593,0.0294244999995498,0.0394470000001092,284.9375,3711.0,0.0,498.0,3211.0,35764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3934024670895357,0.3789587927328665,0.4073974516217143,0.3927701978139157,0.0070319655704279,0.0702276339492786,0.0679806360791015,0.0728096145582257,0.0702050959201268,0.001249921384146,0.0137333848105454,0.0122517416917468,0.0151539676797734,0.0137705365390219,0.000744061625731,,pre_injection_v1,1,B
road_representation,correlated_signal_attack_1,correlated_signal_attack,raw,elliptic_envelope,0.0,pre_injection_v1,19585.0,39473.0,3211.0,0.0,0.0,0.0,0.7711709811295664,0.1478863437300506,0.0178423694225359,2663.158922628631,15668.0,0.8954321000001073,0.0243430999998963,0.9197752000000036,284.30078125,66831.0,0.0,647.0,3211.0,35615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7711709811295664,0.7644164468522733,0.7778063586116062,0.7710140072476834,0.0033393865544166,0.1478863437300506,0.1435480813922243,0.1520096125208567,0.1478438572905792,0.0021533366565489,0.0178423694225359,0.0163935528271434,0.0194128800756538,0.0179125627144285,0.0008048321092823,,pre_injection_v1,1,B
road_representation,correlated_signal_attack_1,correlated_signal_attack,raw,autoencoder,0.0,pre_injection_v1,19585.0,39473.0,3211.0,0.0,0.0,0.0,0.7739739579286984,0.2196593399617558,0.0098450168220175,0.3710950894041608,15668.0,1.9921519999998047,0.0233377999993535,2.015489799999159,293.89453125,18610.0,0.0,357.0,3211.0,35905.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7739739579286984,0.7608143246391176,0.7859882047565859,0.7734730144334208,0.0065267427223719,0.2196593399617558,0.2043509262090974,0.235061600488997,0.2193236065820204,0.008230636300146,0.0098450168220175,0.008935958960781,0.0107121579291885,0.0098377771711049,0.0004524596437715,,pre_injection_v1,1,B
road_representation,correlated_signal_attack_1,correlated_signal_attack,residual,isolation_forest,0.0,pre_injection_v1,19585.0,39473.0,3211.0,0.3639049892033185,0.9971971348489568,0.5332223147377185,0.9587219839088996,0.4884714862522645,0.154348905190006,0.6043371760955579,15668.0,0.7346450999993976,0.6605388999996649,1.3951839999990625,293.38671875,1921791.0,3202.0,5597.0,9.0,30665.0,0.3639049892033185,0.3552417789540177,0.3737785402134413,0.3638892620036023,0.004763814298496,0.9971971348489568,0.9951826373172856,0.9996879460713004,0.997986821941513,0.0011052767230723,0.5332223147377185,0.524029165544867,0.5440688934121086,0.5333001925620247,0.0051163252808825,0.9587219839088996,0.9567908083494404,0.9610894132944549,0.9589017546767434,0.0011824331582111,0.4884714862522645,0.474192473308098,0.5049596660681612,0.4890204234638006,0.0083839112344279,0.154348905190006,0.1487160905911425,0.1594241857168334,0.1544185147500633,0.0027766783524952,,pre_injection_v1,1,B
road_representation,correlated_signal_attack_1,correlated_signal_attack,residual,one_class_svm,0.0,pre_injection_v1,19585.0,39473.0,3211.0,0.2041322314049586,1.0,0.3390528483184625,0.9451452370727788,0.4472501846119466,0.3452374386410016,3.542119642401649,15668.0,0.1030892000007952,1.8712787000004028,1.974367900001198,292.84375,35418.0,3211.0,12519.0,0.0,23743.0,0.2041322314049586,0.1985176251924954,0.2084511853804397,0.2039479594115476,0.0026287603028274,1.0,1.0,1.0,1.0,0.0,0.3390528483184625,0.3312719279896133,0.344989003088456,0.3387907056245288,0.0036291458292472,0.9451452370727788,0.9433999477146722,0.9469700686766626,0.9452767179393676,0.0009379053597773,0.4472501846119466,0.4368958484594106,0.4560814490901107,0.4473135807270372,0.0048025395474526,0.3452374386410016,0.3374535533533347,0.3548128908463174,0.3454696793546168,0.0045787071208711,,pre_injection_v1,1,B
road_representation,correlated_signal_attack_1,correlated_signal_attack,residual,lof,0.0,pre_injection_v1,19585.0,39473.0,3211.0,0.2290179845846417,0.999377141077546,0.3726412355571039,0.9413699728923594,0.3912740979661452,0.2979151729082786,2.222057896237841,15668.0,1.3639737999992576,7.355604400000629,8.719578199999887,296.42578125,2514956.0,3209.0,10803.0,2.0,25459.0,0.2290179845846417,0.2230307338103489,0.234565207780368,0.2289329921844584,0.0029856307884324,0.999377141077546,0.9993728342569904,1.0,0.999915809846979,0.0001846444440926,0.3726412355571039,0.3647181180736168,0.3799964270027948,0.3725565343502854,0.0039563784094832,0.9413699728923594,0.9388393632150605,0.943917234261634,0.9415210266733351,0.0013231610268631,0.3912740979661452,0.3812982188620733,0.4010355930120378,0.3914914036827519,0.0052690630000237,0.2979151729082786,0.289866284564611,0.3061325465949779,0.2980844771513558,0.0041719427790885,,pre_injection_v1,1,B
road_representation,correlated_signal_attack_1,correlated_signal_attack,residual,hbos,0.0,pre_injection_v1,19585.0,39473.0,3211.0,0.3004311961004874,0.9981314232326378,0.4618488363714965,0.932855698229026,0.3948211895595265,0.2058077326126523,24.750427067667577,15668.0,0.0148609999996551,0.038320499999827,0.0531814999994821,294.765625,3711.0,3205.0,7463.0,6.0,28799.0,0.3004311961004874,0.2931101006655397,0.3076930284040534,0.3004874642342185,0.0036928932122069,0.9981314232326378,0.996579439480048,1.0,0.9987117193479814,0.0009303773713102,0.4618488363714965,0.4530533117291119,0.4704548009709088,0.4619649718032482,0.0043672686535273,0.932855698229026,0.9305281801902346,0.9362307471046122,0.9331204776178624,0.00141534921341,0.3948211895595265,0.3828696105490116,0.4079146460770851,0.3954589038137704,0.0066766140594841,0.2058077326126523,0.1995437198787037,0.2115067334428347,0.205778130581771,0.003038236796932,,pre_injection_v1,1,B
