capture,attack_type,detector,delta_f1,delta_roc_auc,delta_pr_auc,delta_recall,raw_f1,residual_f1,raw_roc_auc,residual_roc_auc,residual_fpr,raw_fpr,protocol_version,n_captures,phase
correlated_signal_attack_1,correlated_signal_attack,autoencoder,0.4905977679253936,0.1675255439232944,0.1718175603158956,0.999377141077546,0.0,0.4905977679253936,0.7739739579286984,0.9414995018519928,0.1837184931884617,0.0098450168220175,pre_injection_v1,1,B
correlated_signal_attack_1,correlated_signal_attack,elliptic_envelope,0.501211221380011,0.1702026675614085,0.243350282072669,0.998754282155092,0.0,0.501211221380011,0.7711709811295664,0.941373648690975,0.175914180133473,0.0178423694225359,pre_injection_v1,1,B
correlated_signal_attack_1,correlated_signal_attack,hbos,0.4618488363714965,0.5394532311394904,0.3245935556102479,0.9981314232326378,0.0,0.4618488363714965,0.3934024670895357,0.932855698229026,0.2058077326126523,0.0137333848105454,pre_injection_v1,1,B
correlated_signal_attack_1,correlated_signal_attack,isolation_forest,0.5332223147377185,0.1553750026559364,0.3230807737438906,0.9971971348489568,0.0,0.5332223147377185,0.8033469812529632,0.9587219839088996,0.154348905190006,0.014422811758866,pre_injection_v1,1,B
correlated_signal_attack_1,correlated_signal_attack,lof,0.3726412355571039,0.4560109793699926,0.3197278165976023,0.999377141077546,0.0,0.3726412355571039,0.4853589935223668,0.9413699728923594,0.2979151729082786,0.0147813137719927,pre_injection_v1,1,B
correlated_signal_attack_1,correlated_signal_attack,one_class_svm,0.3390528483184625,0.1641238284830455,0.2339067587309289,1.0,0.0,0.3390528483184625,0.7810214085897332,0.9451452370727788,0.3452374386410016,0.0153328553306491,pre_injection_v1,1,B
fuzzing_attack_1,fuzzing_attack,autoencoder,0.1348737915436803,-0.1306777646390171,-0.1234934340263015,0.2156685725749825,0.1109567472446049,0.2458305387882852,0.5893287040382093,0.4586509393991921,0.3557940547318728,0.0084458213469056,pre_injection_v1,1,B
fuzzing_attack_1,fuzzing_attack,elliptic_envelope,0.0191484980266634,-0.117854087806448,-0.1462564988926494,0.1379275754840004,0.2294375747905863,0.2485860728172498,0.603667278425182,0.4858131906187339,0.3632809618647193,0.0416021243637973,pre_injection_v1,1,B
fuzzing_attack_1,fuzzing_attack,hbos,0.0964134554347364,-0.1144501336158762,-0.0851793035104881,0.1223793760658039,0.1064233444755623,0.2028367999102988,0.6018701920040049,0.4874200583881287,0.2234638931917091,0.0188463524378549,pre_injection_v1,1,B
fuzzing_attack_1,fuzzing_attack,isolation_forest,0.0971817328218951,-0.0864801800977291,-0.0918451180563613,0.1153576085866186,0.1083771081006358,0.205558840922531,0.5884999195669888,0.5020197394692596,0.1918934867596075,0.0108431068820535,pre_injection_v1,1,B
fuzzing_attack_1,fuzzing_attack,lof,0.2202853488521781,-0.0207637739099345,0.016869978710589,0.2824756745912328,0.02937874251497,0.2496640913671481,0.4787004351684513,0.4579366612585168,0.40104742937228,0.0207272995500479,pre_injection_v1,1,B
fuzzing_attack_1,fuzzing_attack,one_class_svm,0.0771100322961391,-0.1433499576355065,-0.1513888105095765,0.2026281472564951,0.1768754901106561,0.2539855224067953,0.6103096999829072,0.4669597423474007,0.4018219370067124,0.0181824887511986,pre_injection_v1,1,B
max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,autoencoder,-0.3301172817567946,0.005280283459676,0.6124213318571285,0.2647058823529411,0.5415162454873645,0.2113989637305699,0.994719716540324,1.0,0.0547876169906407,0.0071994240460763,pre_injection_v1,1,B
max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,elliptic_envelope,-0.3329094161316005,0.0075488078600771,0.6999083356557014,0.1666666666666666,0.5501618122977346,0.2172523961661341,0.9924511921399228,1.0,0.0529157667386609,0.0087832973362131,pre_injection_v1,1,B
max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,hbos,0.2639068564036222,0.1943886841993816,0.9782541718320472,1.0,0.0,0.2639068564036222,0.8056113158006184,1.0,0.0409647228221742,0.0121670266378689,pre_injection_v1,1,B
max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,isolation_forest,0.2659713168187744,0.0233353096458164,0.8682243848486901,1.0,0.0,0.2659713168187744,0.9766646903541836,1.0,0.0405327573794096,0.0095752339812814,pre_injection_v1,1,B
max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,lof,0.1783216783216783,0.2302185236945749,0.984332575550826,1.0,0.0,0.1783216783216783,0.769781476305425,1.0,0.0676745860331173,0.0118790496760259,pre_injection_v1,1,B
max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,one_class_svm,0.1447518914502895,0.0056593119609253,0.1053054617621283,0.9705882352941178,0.025531914893617,0.1702838063439065,0.9853054108612488,0.9909647228221742,0.0715622750179985,0.0093592512598992,pre_injection_v1,1,B
max_speedometer_attack_1,max_speedometer_attack,autoencoder,0.1781343288762148,0.0803684623512313,0.0584419788723604,0.999186330349878,0.000486410895604,0.1786207397718189,0.7803763433688581,0.8607448057200894,0.6707713306529383,0.1710161268786255,pre_injection_v1,1,B
max_speedometer_attack_1,max_speedometer_attack,elliptic_envelope,0.1408418335418623,-0.0853412806568537,-0.1468001401310543,0.9688771358828316,0.0426183844011142,0.1834602179429765,0.9354545561764211,0.8501132755195674,0.6492292627924573,0.0313190807530822,pre_injection_v1,1,B
max_speedometer_attack_1,max_speedometer_attack,hbos,0.2603399883493089,0.2058323465814786,0.7127390507614165,1.0,0.0,0.2603399883493089,0.7827782248804831,0.9886105714619616,0.4144325920211266,0.0291381689242318,pre_injection_v1,1,B
max_speedometer_attack_1,max_speedometer_attack,isolation_forest,0.252659711157938,0.236401994285565,0.7938088687152349,1.0,0.0,0.252659711157938,0.758709722594819,0.995111716880384,0.4314644748750055,0.0397756776404611,pre_injection_v1,1,B
max_speedometer_attack_1,max_speedometer_attack,lof,0.1791708428246013,0.475379056908794,0.1373429310245431,1.0,0.0,0.1791708428246013,0.3788665137414055,0.8542455706501996,0.6682640238565049,0.0003115588326929,pre_injection_v1,1,B
max_speedometer_attack_1,max_speedometer_attack,one_class_svm,-0.281175585414769,0.0172478427758893,0.0273954651433038,0.0006102522375915,0.4560475262229648,0.1748719408081958,0.8378995542242442,0.8551473970001335,0.6882779698233016,0.1738349925077519,pre_injection_v1,1,B
reverse_light_off_attack_1,reverse_light_off_attack,autoencoder,0.5429023329379201,0.0942570852683843,0.5204883032473431,1.0,0.0,0.5429023329379201,0.898301960791656,0.9925590460600404,0.0874035989717223,0.0345909572055043,pre_injection_v1,1,B
reverse_light_off_attack_1,reverse_light_off_attack,elliptic_envelope,0.591937917654667,0.094387982398879,0.4776044394212081,1.0,0.0,0.591937917654667,0.896323167338297,0.990711149737176,0.0715635868743384,0.0173143807651595,pre_injection_v1,1,B
reverse_light_off_attack_1,reverse_light_off_attack,hbos,0.5566632756866734,0.2667447276871605,0.6849288207291974,0.9963583394027676,0.0,0.5566632756866734,0.7246441189521755,0.991388846639336,0.0821866021472856,0.0117949493422047,pre_injection_v1,1,B
reverse_light_off_attack_1,reverse_light_off_attack,isolation_forest,0.711040676175383,0.2037473860498352,0.5293554395844886,0.9803350327749454,0.0,0.711040676175383,0.7826541807948744,0.9864015668447096,0.0403372145773476,0.0130802963859065,pre_injection_v1,1,B
reverse_light_off_attack_1,reverse_light_off_attack,lof,0.4897943277047892,0.3023092770436392,0.6267738265071442,0.9963583394027676,0.0059630292188431,0.4957573569236324,0.689802339826132,0.9921116168697712,0.1055874792076213,0.0113034931196128,pre_injection_v1,1,B
reverse_light_off_attack_1,reverse_light_off_attack,one_class_svm,0.5024702653247941,0.1808163784745423,0.6124098626992132,1.0,0.0,0.5024702653247941,0.808978326144546,0.9897947046190884,0.1027899591713292,0.0088462120066535,pre_injection_v1,1,B
reverse_light_on_attack_1,reverse_light_on_attack,autoencoder,-0.1734830498431915,0.0073451622945984,0.127695355804153,0.0552945428261656,0.8874554405024614,0.7139723906592699,0.9890000992575532,0.9963452615521516,0.0704570012076527,0.0162079705078497,pre_injection_v1,1,B
