experiment,capture,attack_type,representation,detector,seed,protocol,n_pre,n_test,n_test_attack,precision,recall,f1,roc_auc,pr_auc,fpr,threshold,n_train_normals,train_seconds,score_seconds,runtime_seconds,peak_rss_mb,model_bytes,tp,fp,fn,tn,precision_point,precision_ci_low,precision_ci_high,precision_mean,precision_std,recall_point,recall_ci_low,recall_ci_high,recall_mean,recall_std,f1_point,f1_ci_low,f1_ci_high,f1_mean,f1_std,roc_auc_point,roc_auc_ci_low,roc_auc_ci_high,roc_auc_mean,roc_auc_std,pr_auc_point,pr_auc_ci_low,pr_auc_ci_high,pr_auc_mean,pr_auc_std,fpr_point,fpr_ci_low,fpr_ci_high,fpr_mean,fpr_std,error,protocol_version,n_captures,phase
road_representation,correlated_signal_attack_1,correlated_signal_attack,residual,isolation_forest,0.0,pre_injection_v1,19585.0,39473.0,3211.0,0.3639049892033185,0.9971971348489568,0.5332223147377185,0.9587219839088996,0.4884714862522645,0.154348905190006,0.6043371760955579,15668.0,0.7346450999993976,0.6605388999996649,1.3951839999990625,293.38671875,1921791.0,3202.0,5597.0,9.0,30665.0,0.3639049892033185,0.3552417789540177,0.3737785402134413,0.3638892620036023,0.004763814298496,0.9971971348489568,0.9951826373172856,0.9996879460713004,0.997986821941513,0.0011052767230723,0.5332223147377185,0.524029165544867,0.5440688934121086,0.5333001925620247,0.0051163252808825,0.9587219839088996,0.9567908083494404,0.9610894132944549,0.9589017546767434,0.0011824331582111,0.4884714862522645,0.474192473308098,0.5049596660681612,0.4890204234638006,0.0083839112344279,0.154348905190006,0.1487160905911425,0.1594241857168334,0.1544185147500633,0.0027766783524952,,pre_injection_v1,1,B
road_representation,correlated_signal_attack_1,correlated_signal_attack,residual,one_class_svm,0.0,pre_injection_v1,19585.0,39473.0,3211.0,0.2041322314049586,1.0,0.3390528483184625,0.9451452370727788,0.4472501846119466,0.3452374386410016,3.542119642401649,15668.0,0.1030892000007952,1.8712787000004028,1.974367900001198,292.84375,35418.0,3211.0,12519.0,0.0,23743.0,0.2041322314049586,0.1985176251924954,0.2084511853804397,0.2039479594115476,0.0026287603028274,1.0,1.0,1.0,1.0,0.0,0.3390528483184625,0.3312719279896133,0.344989003088456,0.3387907056245288,0.0036291458292472,0.9451452370727788,0.9433999477146722,0.9469700686766626,0.9452767179393676,0.0009379053597773,0.4472501846119466,0.4368958484594106,0.4560814490901107,0.4473135807270372,0.0048025395474526,0.3452374386410016,0.3374535533533347,0.3548128908463174,0.3454696793546168,0.0045787071208711,,pre_injection_v1,1,B
road_representation,correlated_signal_attack_1,correlated_signal_attack,residual,lof,0.0,pre_injection_v1,19585.0,39473.0,3211.0,0.2290179845846417,0.999377141077546,0.3726412355571039,0.9413699728923594,0.3912740979661452,0.2979151729082786,2.222057896237841,15668.0,1.3639737999992576,7.355604400000629,8.719578199999887,296.42578125,2514956.0,3209.0,10803.0,2.0,25459.0,0.2290179845846417,0.2230307338103489,0.234565207780368,0.2289329921844584,0.0029856307884324,0.999377141077546,0.9993728342569904,1.0,0.999915809846979,0.0001846444440926,0.3726412355571039,0.3647181180736168,0.3799964270027948,0.3725565343502854,0.0039563784094832,0.9413699728923594,0.9388393632150605,0.943917234261634,0.9415210266733351,0.0013231610268631,0.3912740979661452,0.3812982188620733,0.4010355930120378,0.3914914036827519,0.0052690630000237,0.2979151729082786,0.289866284564611,0.3061325465949779,0.2980844771513558,0.0041719427790885,,pre_injection_v1,1,B
road_representation,correlated_signal_attack_1,correlated_signal_attack,residual,hbos,0.0,pre_injection_v1,19585.0,39473.0,3211.0,0.3004311961004874,0.9981314232326378,0.4618488363714965,0.932855698229026,0.3948211895595265,0.2058077326126523,24.750427067667577,15668.0,0.0148609999996551,0.038320499999827,0.0531814999994821,294.765625,3711.0,3205.0,7463.0,6.0,28799.0,0.3004311961004874,0.2931101006655397,0.3076930284040534,0.3004874642342185,0.0036928932122069,0.9981314232326378,0.996579439480048,1.0,0.9987117193479814,0.0009303773713102,0.4618488363714965,0.4530533117291119,0.4704548009709088,0.4619649718032482,0.0043672686535273,0.932855698229026,0.9305281801902346,0.9362307471046122,0.9331204776178624,0.00141534921341,0.3948211895595265,0.3828696105490116,0.4079146460770851,0.3954589038137704,0.0066766140594841,0.2058077326126523,0.1995437198787037,0.2115067334428347,0.205778130581771,0.003038236796932,,pre_injection_v1,1,B
road_representation,correlated_signal_attack_1,correlated_signal_attack,residual,elliptic_envelope,0.0,pre_injection_v1,19585.0,39473.0,3211.0,0.3345503859795535,0.998754282155092,0.501211221380011,0.941373648690975,0.3912366258027197,0.175914180133473,344.3987229819849,15668.0,0.9329374000008102,0.0154462999998941,0.9483837000007044,290.265625,66831.0,3207.0,6379.0,4.0,29883.0,0.3345503859795535,0.3271478706226601,0.3418221160404557,0.3344767379602022,0.0037923613597822,0.998754282155092,0.99812330361553,1.0,0.9995866630916423,0.0005498427732135,0.501211221380011,0.4929907326638811,0.5094704327950853,0.5012211876955986,0.0042629549143893,0.941373648690975,0.9388179865315216,0.943897971878955,0.9415087694867508,0.0013219778019245,0.3912366258027197,0.3812489570895118,0.4009963213735484,0.3914432030873416,0.0052667147934792,0.175914180133473,0.1711186161614331,0.1811107547627862,0.1760344261459075,0.0024796222858755,,pre_injection_v1,1,B
road_representation,correlated_signal_attack_1,correlated_signal_attack,residual,autoencoder,0.0,pre_injection_v1,19585.0,39473.0,3211.0,0.3250937088440887,0.999377141077546,0.4905977679253936,0.9414995018519928,0.3914769002776515,0.1837184931884617,3.373503000305952,15668.0,2.071712399999342,0.0304033000002164,2.1021156999995583,296.33984375,18610.0,3209.0,6662.0,2.0,29600.0,0.3250937088440887,0.3173271596407123,0.3322112323430106,0.325151063622304,0.0038870913440384,0.999377141077546,0.9993728342569904,1.0,0.999915809846979,0.0001846444440926,0.4905977679253936,0.4817565849770031,0.4987165841204627,0.4907150107812064,0.0044301205009214,0.9414995018519928,0.9388860198677256,0.9439863063855028,0.9416085804163892,0.001319153827738,0.3914769002776515,0.3815106855544881,0.4012512450423892,0.3916612597134215,0.0052706762704853,0.1837184931884617,0.1784804218540003,0.1895176057017905,0.1836837635878864,0.0026781568397848,,pre_injection_v1,1,B
road_representation,fuzzing_attack_1,fuzzing_attack,residual,isolation_forest,0.0,pre_injection_v1,8885.0,37083.0,9969.0,0.2503961965134706,0.1743404554117765,0.205558840922531,0.5020197394692596,0.2896731541448164,0.1918934867596075,0.6121235003035682,7108.0,0.5883386000004975,0.669946500000151,1.2582851000006483,290.58203125,2165199.0,1738.0,5203.0,8231.0,21911.0,0.2503961965134706,0.2204206416907966,0.27545663354743,0.2490371834542229,0.0136768403151251,0.1743404554117765,0.162515723715619,0.185780621058376,0.1741124753716126,0.0061070306515912,0.205558840922531,0.1904583144092289,0.2189855369794268,0.2047964983537158,0.0072553612462281,0.5020197394692596,0.4884866406568878,0.5149241743293235,0.5020530174729758,0.0063468653248807,0.2896731541448164,0.261404205672442,0.3150072290579717,0.2888320002803546,0.0135372285319185,0.1918934867596075,0.184943135090798,0.1989302076256643,0.191953775352079,0.0034650195549635,,pre_injection_v1,1,B
road_representation,fuzzing_attack_1,fuzzing_attack,residual,one_class_svm,0.0,pre_injection_v1,8885.0,37083.0,9969.0,0.2178750897343862,0.3044437757046845,0.2539855224067953,0.4669597423474007,0.2505047109125857,0.4018219370067124,6.17878135597746,7108.0,0.0617706000002726,0.741589400000521,0.8033600000007937,290.7265625,35034.0,3035.0,10895.0,6934.0,16219.0,0.2178750897343862,0.1932968694495856,0.2412485903542352,0.2170867814817325,0.012087086601989,0.3044437757046845,0.2878196259418435,0.3200573691397916,0.3047076371921163,0.0086444146379985,0.2539855224067953,0.2344643287536518,0.2711040224723144,0.2533646372722833,0.0096554977867311,0.4669597423474007,0.4549295901356106,0.4784657953588939,0.4671241794629573,0.005933847962093,0.2505047109125857,0.2237910870363264,0.2737288384058134,0.2496623533324501,0.0127128248373148,0.4018219370067124,0.3915550417692779,0.4115163349465872,0.4018512972840799,0.0047584312506681,,pre_injection_v1,1,B
road_representation,fuzzing_attack_1,fuzzing_attack,residual,lof,0.0,pre_injection_v1,8885.0,37083.0,9969.0,0.2147035458944175,0.2982244959374059,0.2496640913671481,0.4579366612585168,0.2696589182020218,0.40104742937228,2.196660259405696,7108.0,0.3998375000001033,2.4824114000002737,2.882248900000377,292.54296875,2514956.0,2973.0,10874.0,6996.0,16240.0,0.2147035458944175,0.191638344473396,0.2376457606687971,0.2140102040216273,0.0117430813679457,0.2982244959374059,0.2836459218586108,0.3127856510404937,0.2985214301850995,0.0082127751829445,0.2496640913671481,0.230619341846569,0.2658235835052088,0.2491254899564327,0.0092487916310325,0.4579366612585168,0.447259973372168,0.4692754866276195,0.4580321125665722,0.0057914489148972,0.2696589182020218,0.2427611160797579,0.2943033107593749,0.2688160304930251,0.0129675305680986,0.40104742937228,0.391149716803683,0.4105207961812264,0.4009175164577973,0.0047104725493084,,pre_injection_v1,1,B
road_representation,fuzzing_attack_1,fuzzing_attack,residual,hbos,0.0,pre_injection_v1,8885.0,37083.0,9969.0,0.2299186578546009,0.1814625338549503,0.2028367999102988,0.4874200583881287,0.2848192963507998,0.2234638931917091,24.333740500235283,7108.0,0.0022688999997626,0.0115136000003985,0.0137825000001612,291.80859375,3711.0,1809.0,6059.0,8160.0,21055.0,0.2299186578546009,0.2043712555985557,0.2541257751591402,0.2291482562402677,0.0127524770113302,0.1814625338549503,0.1701974326772366,0.1924261262046045,0.1816490461402259,0.005687861893568,0.2028367999102988,0.189393057262906,0.2154546990386007,0.2025037542614444,0.0069660680703966,0.4874200583881287,0.4757682159915007,0.4982439181205301,0.4875377017210891,0.0058250074205998,0.2848192963507998,0.2580577363725623,0.3116537372290528,0.2841538245008251,0.0137109924736933,0.2234638931917091,0.2164647095890072,0.2309260523584785,0.2234486865742431,0.0038870409189949,,pre_injection_v1,1,B
