corpus,coverage_bucket,f1_mean,f1_std,roc_mean,n
hcrl,cross_id_fuzzing,0.4481504256550671,0.049159111483042764,0.8974430345885632,6
hcrl,novel_id_flood,0.04017882458137508,0.06781565174239719,0.783700284020466,6
hcrl,targeted_legitimate_aid,0.9376696277526616,0.040441697457948116,0.9995053955701136,12
road,cross_id_fuzzing,0.2364531898805183,0.023907544709964493,0.4781212920832531,6
road,targeted_legitimate_aid,0.34476996817710115,0.1433850222872958,0.9597474270371421,30
