feature,method,metric,baseline,importance_mean,importance_std,rank,corpus,dataset,detector,protocol_version,phase
byte_mean_res,permutation,roc_auc,0.9665201242405748,-0.0109323258090988,0.0003180865226117,14,road,correlated_signal_attack_1,isolation_forest,hcrl_temporal_v1,C
iat_max_res,permutation,roc_auc,0.9864015668447096,0.0151438728523537,0.0002605744071812,1,road,reverse_light_off_attack_1,isolation_forest,hcrl_temporal_v1,C
iat_mean_res,permutation,roc_auc,0.9864015668447096,0.0130269022513976,0.0003285710304159,2,road,reverse_light_off_attack_1,isolation_forest,hcrl_temporal_v1,C
iat_min_res,permutation,roc_auc,0.9864015668447096,0.0075930688510095,0.000307649577385,3,road,reverse_light_off_attack_1,isolation_forest,hcrl_temporal_v1,C
iat_median_res,permutation,roc_auc,0.9864015668447096,0.0065343109629018,0.0001424396710923,4,road,reverse_light_off_attack_1,isolation_forest,hcrl_temporal_v1,C
iat_std_res,permutation,roc_auc,0.9864015668447096,0.0033687811059657,0.0001297434451966,5,road,reverse_light_off_attack_1,isolation_forest,hcrl_temporal_v1,C
byte_entropy_res,permutation,roc_auc,0.9864015668447096,0.000170425090221,0.0001275410615285,6,road,reverse_light_off_attack_1,isolation_forest,hcrl_temporal_v1,C
dlc_mode_res,permutation,roc_auc,0.9864015668447096,0.0,0.0,7,road,reverse_light_off_attack_1,isolation_forest,hcrl_temporal_v1,C
dlc_std_res,permutation,roc_auc,0.9864015668447096,0.0,0.0,8,road,reverse_light_off_attack_1,isolation_forest,hcrl_temporal_v1,C
window_fill_res,permutation,roc_auc,0.9864015668447096,0.0,0.0,9,road,reverse_light_off_attack_1,isolation_forest,hcrl_temporal_v1,C
byte_nunique_res,permutation,roc_auc,0.9864015668447096,-0.0012312039815635,9.559331710395448e-05,10,road,reverse_light_off_attack_1,isolation_forest,hcrl_temporal_v1,C
time_since_last_seen_res,permutation,roc_auc,0.9864015668447096,-0.0023589623343368,0.0002025059067996,11,road,reverse_light_off_attack_1,isolation_forest,hcrl_temporal_v1,C
byte_max_change_res,permutation,roc_auc,0.9864015668447096,-0.0024563229261395,0.0001091539488719,12,road,reverse_light_off_attack_1,isolation_forest,hcrl_temporal_v1,C
byte_var_res,permutation,roc_auc,0.9864015668447096,-0.003620976978295,0.0002365721227484,13,road,reverse_light_off_attack_1,isolation_forest,hcrl_temporal_v1,C
byte_mean_res,permutation,roc_auc,0.9864015668447096,-0.0056970924757113,9.133586091025658e-05,14,road,reverse_light_off_attack_1,isolation_forest,hcrl_temporal_v1,C
