detected,delay_frames,delay_ms,attack_start_idx,detect_idx,n_attack_windows,missed,corpus,dataset,detector,representation,median_delay_ms,worst_delay_ms,n_segments,n_detected_segments,capture
True,0.0,0.0,2217.0,2217.0,5834.0,False,hcrl,DoS,isolation_forest,residual,,,,,
True,0.0,0.0,,,,,hcrl,DoS,isolation_forest,residual,0.0,0.0,3978.0,42.0,
True,0.0,0.0,2217.0,2217.0,5834.0,False,hcrl,DoS,one_class_svm,residual,,,,,
True,0.0,0.0,,,,,hcrl,DoS,one_class_svm,residual,0.0,0.0,3978.0,42.0,
False,,,2217.0,-1.0,5834.0,True,hcrl,DoS,lof,residual,,,,,
False,,,,,,,hcrl,DoS,lof,residual,,,3978.0,0.0,
True,0.0,0.0,2217.0,2217.0,5834.0,False,hcrl,DoS,hbos,residual,,,,,
True,0.005813953488372093,0.002189084540965945,,,,,hcrl,DoS,hbos,residual,0.0,1.0089874267578125,3978.0,688.0,
True,0.0,0.0,2217.0,2217.0,5834.0,False,hcrl,DoS,elliptic_envelope,residual,,,,,
True,0.0,0.0,,,,,hcrl,DoS,elliptic_envelope,residual,0.0,0.0,3978.0,42.0,
True,0.0,0.0,2217.0,2217.0,5834.0,False,hcrl,DoS,autoencoder,residual,,,,,
True,0.0,0.0,,,,,hcrl,DoS,autoencoder,residual,0.0,0.0,3978.0,42.0,
True,0.0,0.0,41.0,41.0,1296.0,False,hcrl,Fuzzy,isolation_forest,residual,,,,,
True,0.007897334649555774,0.003450361667945613,,,,,hcrl,Fuzzy,isolation_forest,residual,0.0,0.6921291351318359,1029.0,1013.0,
True,0.0,0.0,41.0,41.0,1296.0,False,hcrl,Fuzzy,one_class_svm,residual,,,,,
True,0.12742718446601942,0.14766587794405742,,,,,hcrl,Fuzzy,one_class_svm,residual,0.0,15.10000228881836,1029.0,824.0,
True,3265.0,1672.9028224945068,41.0,3306.0,1296.0,False,hcrl,Fuzzy,lof,residual,,,,,
True,0.07113821138211382,0.18504286200050415,,,,,hcrl,Fuzzy,lof,residual,0.0,15.10000228881836,1029.0,492.0,
True,0.0,0.0,41.0,41.0,1296.0,False,hcrl,Fuzzy,hbos,residual,,,,,
True,0.08333333333333333,0.0858541690942013,,,,,hcrl,Fuzzy,hbos,residual,0.0,5.445003509521484,1029.0,924.0,
True,0.0,0.0,41.0,41.0,1296.0,False,hcrl,Fuzzy,elliptic_envelope,residual,,,,,
True,0.017142857142857144,0.025180816650390625,,,,,hcrl,Fuzzy,elliptic_envelope,residual,0.0,9.115934371948242,1029.0,875.0,
True,0.0,0.0,41.0,41.0,1296.0,False,hcrl,Fuzzy,autoencoder,residual,,,,,
True,0.023255813953488372,0.024532283401103545,,,,,hcrl,Fuzzy,autoencoder,residual,0.0,5.445003509521484,1029.0,989.0,
True,3.0,1.096963882446289,4352.0,4355.0,4934.0,False,hcrl,RPM,isolation_forest,residual,,,,,
True,0.00031635558367605187,0.0003539697537879256,,,,,hcrl,RPM,isolation_forest,residual,0.0,1.1188983917236328,3163.0,3161.0,
True,0.0,0.0,4352.0,4352.0,4934.0,False,hcrl,RPM,one_class_svm,residual,,,,,
True,0.0,0.0,,,,,hcrl,RPM,one_class_svm,residual,0.0,0.0,3163.0,3163.0,
