corpus,dataset,representation,detector,train_seconds,score_seconds,wall_seconds,n_test,windows_per_sec,frames_per_sec_est,peak_rss_mb,model_bytes,complexity_note,capture
hcrl,DoS,raw,isolation_forest,0.1723597000000154,0.1052213000002666,0.6330664999986766,23692,225163.53627963123,6754906.0883889375,520.359375,2365487,Train O(T ψ log ψ); score O(T log ψ) per sample,
hcrl,DoS,raw,one_class_svm,0.0278934000016306,0.2401528999998845,0.6273405000010825,23692,98653.81596479322,2959614.4789437964,524.16796875,31066,Train ~O(n_sv^2–n^3) RBF; score O(n_sv) per sample,
hcrl,DoS,raw,lof,0.0388170999995054,0.1101314999996248,0.4883417999990342,23692,215124.64644611863,6453739.39338356,522.91796875,2514956,Train O(n log n) kNN; score O(n_neighbors) novelty,
hcrl,DoS,raw,hbos,0.0018504000017856,0.0039758999992045,0.2421241000010923,23692,5958902.388073131,178767071.64219394,524.23046875,3855,Train O(n d b); score O(d) — lightest,
hcrl,DoS,raw,elliptic_envelope,0.1809518999998545,0.0031503999998676,0.4978871999992407,23692,7520314.880965987,225609446.4289796,525.6328125,66831,Train robust cov ~O(n d^2); score O(d^2),
hcrl,DoS,raw,autoencoder,0.4321517999997013,0.0061530000002676,0.7627671000009286,23692,3850479.4407556416,115514383.22266924,526.17578125,18610,Train O(epochs n d h); score O(d h),
hcrl,DoS,residual,isolation_forest,0.1672385000001668,0.1019794000003457,0.6068145999997796,23692,232321.4296212732,6969642.8886381965,518.37109375,1757055,Train O(T ψ log ψ); score O(T log ψ) per sample,
hcrl,DoS,residual,one_class_svm,0.0269647999994049,0.2251123000005463,0.6080113999996684,23692,105245.24870450214,3157357.4611350643,524.0546875,32122,Train ~O(n_sv^2–n^3) RBF; score O(n_sv) per sample,
hcrl,DoS,residual,lof,0.1966153000012127,0.9020942999995896,1.4760905999992249,23692,26263.329676299672,787899.8902889902,527.07421875,2514956,Train O(n log n) kNN; score O(n_neighbors) novelty,
hcrl,DoS,residual,hbos,0.0018372000013187,0.0040938000001915,0.2421599000008427,23692,5787288.093920427,173618642.81761283,527.234375,3711,Train O(n d b); score O(d) — lightest,
hcrl,DoS,residual,elliptic_envelope,0.1752189999988331,0.0030319999987113,0.4965606000005209,23692,7813984.172186382,234419525.16559148,527.53515625,66831,Train robust cov ~O(n d^2); score O(d^2),
hcrl,DoS,residual,autoencoder,0.4260147999993933,0.0057701000005181,0.7507551999988209,23692,4105994.696430307,123179840.8929092,528.08203125,18610,Train O(epochs n d h); score O(d h),
hcrl,Fuzzy,raw,isolation_forest,0.1689456999993126,0.0950885999991442,0.5967447000002721,20695,217639.1281413992,6529173.844241977,527.88671875,2117327,Train O(T ψ log ψ); score O(T log ψ) per sample,
hcrl,Fuzzy,raw,one_class_svm,0.0261651000000711,0.1991237000002002,0.5569318999987445,20695,103930.3709200823,3117911.127602469,527.84765625,30810,Train ~O(n_sv^2–n^3) RBF; score O(n_sv) per sample,
hcrl,Fuzzy,raw,lof,0.0359231999991607,0.1030041000012715,0.4421986999986984,20695,200914.3325337974,6027429.976013922,528.8515625,2514956,Train O(n log n) kNN; score O(n_neighbors) novelty,
hcrl,Fuzzy,raw,hbos,0.0018027000005531,0.0035783000002993,0.2254697000007581,20695,5783472.598236234,173504177.94708702,528.91796875,3855,Train O(n d b); score O(d) — lightest,
hcrl,Fuzzy,raw,elliptic_envelope,0.1782512999998289,0.0028153999992355,0.4651291999998648,20695,7350642.894657737,220519286.8397321,526.7265625,66831,Train robust cov ~O(n d^2); score O(d^2),
hcrl,Fuzzy,raw,autoencoder,0.426567000000432,0.0048306000007869,0.7263288000012835,20695,4284146.896167891,128524406.88503674,526.74609375,18610,Train O(epochs n d h); score O(d h),
hcrl,Fuzzy,residual,isolation_forest,0.1635010999998485,0.0859051999996154,0.5745450000013079,20695,240905.09072899717,7227152.721869914,527.4609375,1247359,Train O(T ψ log ψ); score O(T log ψ) per sample,
hcrl,Fuzzy,residual,one_class_svm,0.025775899999644,0.1834149000005709,0.5154791999993904,20695,112831.6183687126,3384948.551061378,527.421875,30010,Train ~O(n_sv^2–n^3) RBF; score O(n_sv) per sample,
hcrl,Fuzzy,residual,lof,0.1281032000006234,0.5110236000000441,0.969977499999004,20695,40497.15120788592,1214914.5362365777,529.14453125,2514956,Train O(n log n) kNN; score O(n_neighbors) novelty,
hcrl,Fuzzy,residual,hbos,0.0017735000001266,0.0032551000003877,0.1994130000002769,20695,6357715.584017313,190731467.5205194,529.15625,3711,Train O(n d b); score O(d) — lightest,
hcrl,Fuzzy,residual,elliptic_envelope,0.1743931000000884,0.0030796999999438,0.4747360000001208,20695,6719810.371262583,201594311.1378775,526.75390625,66831,Train robust cov ~O(n d^2); score O(d^2),
hcrl,Fuzzy,residual,autoencoder,0.416725299999598,0.0050970000011147,0.717525599999135,20695,4060231.50784259,121806945.2352777,526.7578125,18610,Train O(epochs n d h); score O(d h),
hcrl,RPM,raw,isolation_forest,0.1686184999998659,0.1104881000010209,0.6412737999999081,23705,214547.99204421975,6436439.761326593,527.23828125,2440111,Train O(T ψ log ψ); score O(T log ψ) per sample,
hcrl,RPM,raw,one_class_svm,0.0257744999998976,0.2131724000009853,0.5835867999994662,23705,111201.0748102964,3336032.244308892,527.5234375,29482,Train ~O(n_sv^2–n^3) RBF; score O(n_sv) per sample,
hcrl,RPM,raw,lof,0.0391584000008151,0.113398400000733,0.4841412999994645,23705,209041.75014679885,6271252.504403966,524.71484375,2514956,Train O(n log n) kNN; score O(n_neighbors) novelty,
