corpus,dataset,representation,detector,train_seconds,score_seconds,wall_seconds,n_test,windows_per_sec,frames_per_sec_est,peak_rss_mb,model_bytes,complexity_note,capture
hcrl,DoS,raw,isolation_forest,0.17235970000001544,0.10522130000026664,0.6330664999986766,23692,225163.53627963125,6754906.0883889375,520.359375,2365487,Train O(T ψ log ψ); score O(T log ψ) per sample,
hcrl,DoS,raw,one_class_svm,0.027893400001630653,0.24015289999988454,0.6273405000010825,23692,98653.81596479322,2959614.4789437964,524.16796875,31066,Train ~O(n_sv^2–n^3) RBF; score O(n_sv) per sample,
hcrl,DoS,raw,lof,0.038817099999505444,0.1101314999996248,0.48834179999903427,23692,215124.64644611866,6453739.39338356,522.91796875,2514956,Train O(n log n) kNN; score O(n_neighbors) novelty,
hcrl,DoS,raw,hbos,0.0018504000017856015,0.003975899999204557,0.2421241000010923,23692,5958902.388073131,178767071.64219394,524.23046875,3855,Train O(n d b); score O(d) — lightest,
hcrl,DoS,raw,elliptic_envelope,0.1809518999998545,0.003150399999867659,0.4978871999992407,23692,7520314.880965987,225609446.4289796,525.6328125,66831,Train robust cov ~O(n d^2); score O(d^2),
hcrl,DoS,raw,autoencoder,0.4321517999997013,0.006153000000267639,0.7627671000009286,23692,3850479.4407556416,115514383.22266924,526.17578125,18610,Train O(epochs n d h); score O(d h),
hcrl,DoS,residual,isolation_forest,0.16723850000016682,0.10197940000034578,0.6068145999997796,23692,232321.42962127322,6969642.8886381965,518.37109375,1757055,Train O(T ψ log ψ); score O(T log ψ) per sample,
hcrl,DoS,residual,one_class_svm,0.02696479999940493,0.22511230000054638,0.6080113999996684,23692,105245.24870450214,3157357.4611350643,524.0546875,32122,Train ~O(n_sv^2–n^3) RBF; score O(n_sv) per sample,
hcrl,DoS,residual,lof,0.19661530000121274,0.9020942999995896,1.4760905999992247,23692,26263.329676299672,787899.8902889902,527.07421875,2514956,Train O(n log n) kNN; score O(n_neighbors) novelty,
hcrl,DoS,residual,hbos,0.0018372000013187062,0.00409380000019155,0.24215990000084275,23692,5787288.093920427,173618642.81761283,527.234375,3711,Train O(n d b); score O(d) — lightest,
hcrl,DoS,residual,elliptic_envelope,0.17521899999883317,0.003031999998711399,0.49656060000052094,23692,7813984.172186382,234419525.16559148,527.53515625,66831,Train robust cov ~O(n d^2); score O(d^2),
hcrl,DoS,residual,autoencoder,0.4260147999993933,0.005770100000518141,0.7507551999988209,23692,4105994.696430307,123179840.8929092,528.08203125,18610,Train O(epochs n d h); score O(d h),
hcrl,Fuzzy,raw,isolation_forest,0.16894569999931264,0.09508859999914421,0.5967447000002721,20695,217639.1281413992,6529173.844241977,527.88671875,2117327,Train O(T ψ log ψ); score O(T log ψ) per sample,
hcrl,Fuzzy,raw,one_class_svm,0.026165100000071106,0.1991237000002002,0.5569318999987445,20695,103930.3709200823,3117911.127602469,527.84765625,30810,Train ~O(n_sv^2–n^3) RBF; score O(n_sv) per sample,
hcrl,Fuzzy,raw,lof,0.035923199999160715,0.10300410000127158,0.44219869999869843,20695,200914.3325337974,6027429.976013922,528.8515625,2514956,Train O(n log n) kNN; score O(n_neighbors) novelty,
hcrl,Fuzzy,raw,hbos,0.001802700000553159,0.0035783000002993504,0.22546970000075817,20695,5783472.598236234,173504177.94708702,528.91796875,3855,Train O(n d b); score O(d) — lightest,
hcrl,Fuzzy,raw,elliptic_envelope,0.17825129999982892,0.002815399999235524,0.4651291999998648,20695,7350642.894657737,220519286.8397321,526.7265625,66831,Train robust cov ~O(n d^2); score O(d^2),
hcrl,Fuzzy,raw,autoencoder,0.426567000000432,0.004830600000786944,0.7263288000012835,20695,4284146.896167891,128524406.88503674,526.74609375,18610,Train O(epochs n d h); score O(d h),
hcrl,Fuzzy,residual,isolation_forest,0.16350109999984852,0.08590519999961543,0.5745450000013079,20695,240905.09072899714,7227152.721869914,527.4609375,1247359,Train O(T ψ log ψ); score O(T log ψ) per sample,
