capture,attack_type,detector,delta_f1,delta_roc_auc,delta_pr_auc,delta_recall,raw_f1,residual_f1,raw_roc_auc,residual_roc_auc,residual_fpr,raw_fpr
correlated_signal_attack_1,correlated_signal_attack,autoencoder,0.4905977679253936,0.16752554392329444,0.17181756031589568,0.999377141077546,0.0,0.4905977679253936,0.7739739579286984,0.9414995018519928,0.1837184931884617,0.0098450168220175
correlated_signal_attack_1,correlated_signal_attack,elliptic_envelope,0.501211221380011,0.17020266756140856,0.24335028207266907,0.998754282155092,0.0,0.501211221380011,0.7711709811295664,0.941373648690975,0.175914180133473,0.0178423694225359
correlated_signal_attack_1,correlated_signal_attack,hbos,0.4618488363714965,0.5394532311394904,0.3245935556102479,0.9981314232326378,0.0,0.4618488363714965,0.3934024670895357,0.932855698229026,0.2058077326126523,0.0137333848105454
correlated_signal_attack_1,correlated_signal_attack,isolation_forest,0.5332223147377185,0.1553750026559364,0.32308077374389066,0.9971971348489568,0.0,0.5332223147377185,0.8033469812529632,0.9587219839088996,0.154348905190006,0.014422811758866
correlated_signal_attack_1,correlated_signal_attack,lof,0.3726412355571039,0.4560109793699926,0.3197278165976023,0.999377141077546,0.0,0.3726412355571039,0.4853589935223668,0.9413699728923594,0.2979151729082786,0.0147813137719927
correlated_signal_attack_1,correlated_signal_attack,one_class_svm,0.3390528483184625,0.16412382848304552,0.2339067587309289,1.0,0.0,0.3390528483184625,0.7810214085897332,0.9451452370727788,0.3452374386410016,0.0153328553306491
fuzzing_attack_1,fuzzing_attack,autoencoder,0.1348737915436803,-0.13067776463901715,-0.12349343402630153,0.2156685725749825,0.1109567472446049,0.2458305387882852,0.5893287040382093,0.4586509393991921,0.3557940547318728,0.0084458213469056
fuzzing_attack_1,fuzzing_attack,elliptic_envelope,0.01914849802666349,-0.11785408780644807,-0.1462564988926494,0.13792757548400042,0.2294375747905863,0.2485860728172498,0.603667278425182,0.4858131906187339,0.3632809618647193,0.0416021243637973
fuzzing_attack_1,fuzzing_attack,hbos,0.09641345543473649,-0.11445013361587625,-0.08517930351048814,0.12237937606580399,0.1064233444755623,0.2028367999102988,0.6018701920040049,0.4874200583881287,0.2234638931917091,0.0188463524378549
fuzzing_attack_1,fuzzing_attack,isolation_forest,0.09718173282189518,-0.08648018009772918,-0.09184511805636136,0.11535760858661862,0.1083771081006358,0.205558840922531,0.5884999195669888,0.5020197394692596,0.1918934867596075,0.0108431068820535
fuzzing_attack_1,fuzzing_attack,lof,0.2202853488521781,-0.020763773909934502,0.016869978710589095,0.2824756745912328,0.02937874251497,0.2496640913671481,0.4787004351684513,0.4579366612585168,0.40104742937228,0.0207272995500479
