experiment,capture,attack_type,representation,detector,seed,protocol,n_pre,n_test,n_test_attack,precision,recall,f1,roc_auc,pr_auc,fpr,threshold,n_train_normals,train_seconds,score_seconds,runtime_seconds,peak_rss_mb,model_bytes,tp,fp,fn,tn,precision_point,precision_ci_low,precision_ci_high,precision_mean,precision_std,recall_point,recall_ci_low,recall_ci_high,recall_mean,recall_std,f1_point,f1_ci_low,f1_ci_high,f1_mean,f1_std,roc_auc_point,roc_auc_ci_low,roc_auc_ci_high,roc_auc_mean,roc_auc_std,pr_auc_point,pr_auc_ci_low,pr_auc_ci_high,pr_auc_mean,pr_auc_std,fpr_point,fpr_ci_low,fpr_ci_high,fpr_mean,fpr_std,error
road_representation,correlated_signal_attack_1,correlated_signal_attack,raw,isolation_forest,0.0,pre_injection_v1,19585.0,39473.0,3211.0,0.0,0.0,0.0,0.8033469812529632,0.16539071250837384,0.01442281175886603,0.7014620518437052,15668.0,0.9054258999995,0.6368567999998049,1.542282699999305,280.28515625,2553103.0,0.0,523.0,3211.0,35739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8033469812529632,0.7977851923732854,0.8095285952991266,0.8032515394654778,0.002922839766633341,0.16539071250837384,0.16030796076689882,0.17027034909527278,0.16533096652619203,0.0025396100879050898,0.01442281175886603,0.013084233533599268,0.015926653970162574,0.014482910735530213,0.0007475011467680744,
road_representation,correlated_signal_attack_1,correlated_signal_attack,raw,one_class_svm,0.0,pre_injection_v1,19585.0,39473.0,3211.0,0.0,0.0,0.0,0.7810214085897332,0.2133434258810177,0.015332855330649164,15.161593727145833,15668.0,0.12136579999969399,1.235981100000572,1.357346900000266,280.015625,29882.0,0.0,556.0,3211.0,35706.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7810214085897332,0.7690459971079119,0.7925083416450645,0.7808011223832049,0.005874384775956274,0.2133434258810177,0.1992644404261282,0.22719884572197754,0.21296733521103847,0.007424205878564424,0.015332855330649164,0.013742042470867,0.017076386713074463,0.015380546220363668,0.0008315996659909183,
road_representation,correlated_signal_attack_1,correlated_signal_attack,raw,lof,0.0,pre_injection_v1,19585.0,39473.0,3211.0,0.0,0.0,0.0,0.48535899352236683,0.07154628136854292,0.014781313771992719,3627.5529035979534,15668.0,0.14878570000018954,0.7279090000001815,0.8766947000003711,281.60546875,2514956.0,0.0,536.0,3211.0,35726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48535899352236683,0.47003757112496686,0.5002896704612267,0.4849461493648616,0.0073407817716451,0.07154628136854292,0.06943460562602954,0.07395876408856178,0.07152935327646835,0.0011291630913962214,0.014781313771992719,0.013420904477191029,0.016424726886194625,0.014839943442598317,0.0007930941932867872,
road_representation,correlated_signal_attack_1,correlated_signal_attack,raw,hbos,0.0,pre_injection_v1,19585.0,39473.0,3211.0,0.0,0.0,0.0,0.39340246708953575,0.07022763394927861,0.013733384810545474,35.34406106070503,15668.0,0.010022500000559376,0.02942449999954988,0.039447000000109256,284.9375,3711.0,0.0,498.0,3211.0,35764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39340246708953575,0.3789587927328665,0.40739745162171437,0.3927701978139157,0.007031965570427924,0.07022763394927861,0.0679806360791015,0.07280961455822577,0.07020509592012684,0.001249921384146062,0.013733384810545474,0.01225174169174685,0.01515396767977341,0.013770536539021909,0.0007440616257310692,
road_representation,correlated_signal_attack_1,correlated_signal_attack,raw,elliptic_envelope,0.0,pre_injection_v1,19585.0,39473.0,3211.0,0.0,0.0,0.0,0.7711709811295664,0.14788634373005066,0.01784236942253599,2663.158922628631,15668.0,0.8954321000001073,0.024343099999896367,0.9197752000000037,284.30078125,66831.0,0.0,647.0,3211.0,35615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7711709811295664,0.7644164468522733,0.7778063586116062,0.7710140072476834,0.003339386554416618,0.14788634373005066,0.1435480813922243,0.15200961252085676,0.1478438572905792,0.0021533366565489567,0.01784236942253599,0.016393552827143432,0.019412880075653803,0.0179125627144285,0.000804832109282394,
road_representation,correlated_signal_attack_1,correlated_signal_attack,raw,autoencoder,0.0,pre_injection_v1,19585.0,39473.0,3211.0,0.0,0.0,0.0,0.7739739579286984,0.2196593399617558,0.009845016822017539,0.3710950894041608,15668.0,1.9921519999998054,0.023337799999353592,2.015489799999159,293.89453125,18610.0,0.0,357.0,3211.0,35905.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7739739579286984,0.7608143246391176,0.7859882047565859,0.7734730144334208,0.0065267427223719265,0.2196593399617558,0.20435092620909748,0.23506160048899705,0.21932360658202044,0.00823063630014606,0.009845016822017539,0.008935958960781068,0.010712157929188525,0.009837777171104962,0.00045245964377156774,
road_representation,correlated_signal_attack_1,correlated_signal_attack,residual,isolation_forest,0.0,pre_injection_v1,19585.0,39473.0,3211.0,0.36390498920331854,0.9971971348489567,0.5332223147377185,0.9587219839088995,0.48847148625226455,0.15434890519000607,0.6043371760955579,15668.0,0.7346450999993976,0.6605388999996649,1.3951839999990625,293.38671875,1921791.0,3202.0,5597.0,9.0,30665.0,0.36390498920331854,0.3552417789540177,0.37377854021344137,0.36388926200360233,0.00476381429849601,0.9971971348489567,0.9951826373172855,0.9996879460713005,0.997986821941513,0.001105276723072317,0.5332223147377185,0.524029165544867,0.5440688934121086,0.5333001925620247,0.005116325280882579,0.9587219839088995,0.9567908083494405,0.9610894132944547,0.9589017546767434,0.001182433158211128,0.48847148625226455,0.47419247330809805,0.5049596660681612,0.48902042346380065,0.008383911234427928,0.15434890519000607,0.14871609059114257,0.1594241857168334,0.15441851475006335,0.002776678352495205,
road_representation,correlated_signal_attack_1,correlated_signal_attack,residual,one_class_svm,0.0,pre_injection_v1,19585.0,39473.0,3211.0,0.20413223140495868,1.0,0.33905284831846255,0.9451452370727788,0.44725018461194666,0.3452374386410016,3.542119642401649,15668.0,0.10308920000079524,1.8712787000004028,1.974367900001198,292.84375,35418.0,3211.0,12519.0,0.0,23743.0,0.20413223140495868,0.19851762519249544,0.20845118538043972,0.20394795941154764,0.0026287603028274506,1.0,1.0,1.0,1.0,0.0,0.33905284831846255,0.3312719279896133,0.344989003088456,0.3387907056245288,0.0036291458292472783,0.9451452370727788,0.9433999477146722,0.9469700686766626,0.9452767179393675,0.0009379053597773988,0.44725018461194666,0.4368958484594106,0.4560814490901107,0.44731358072703725,0.004802539547452617,0.3452374386410016,0.33745355335333477,0.35481289084631745,0.34546967935461687,0.004578707120871163,
road_representation,correlated_signal_attack_1,correlated_signal_attack,residual,lof,0.0,pre_injection_v1,19585.0,39473.0,3211.0,0.22901798458464173,0.9993771410775459,0.3726412355571039,0.9413699728923594,0.3912740979661452,0.2979151729082786,2.222057896237841,15668.0,1.3639737999992576,7.3556044000006295,8.719578199999887,296.42578125,2514956.0,3209.0,10803.0,2.0,25459.0,0.22901798458464173,0.22303073381034896,0.23456520778036805,0.22893299218445842,0.0029856307884324864,0.9993771410775459,0.9993728342569904,1.0,0.999915809846979,0.00018464444409269518,0.3726412355571039,0.36471811807361687,0.3799964270027948,0.3725565343502854,0.003956378409483277,0.9413699728923594,0.9388393632150603,0.9439172342616339,0.9415210266733353,0.001323161026863148,0.3912740979661452,0.3812982188620733,0.40103559301203784,0.3914914036827519,0.005269063000023796,0.2979151729082786,0.28986628456461105,0.30613254659497796,0.29808447715135583,0.004171942779088591,
road_representation,correlated_signal_attack_1,correlated_signal_attack,residual,hbos,0.0,pre_injection_v1,19585.0,39473.0,3211.0,0.30043119610048746,0.9981314232326378,0.46184883637149654,0.932855698229026,0.3948211895595265,0.20580773261265237,24.750427067667577,15668.0,0.014860999999655178,0.03832049999982701,0.053181499999482185,294.765625,3711.0,3205.0,7463.0,6.0,28799.0,0.30043119610048746,0.2931101006655397,0.30769302840405344,0.30048746423421857,0.0036928932122069417,0.9981314232326378,0.996579439480048,1.0,0.9987117193479814,0.0009303773713102621,0.46184883637149654,0.45305331172911195,0.47045480097090886,0.4619649718032482,0.004367268653527304,0.932855698229026,0.9305281801902346,0.9362307471046122,0.9331204776178625,0.0014153492134100652,0.3948211895595265,0.3828696105490116,0.4079146460770851,0.39545890381377047,0.006676614059484106,0.20580773261265237,0.19954371987870376,0.21150673344283477,0.205778130581771,0.0030382367969320283,
