corpus,dataset,capture,attack_type,representation,detector,n_seeds,precision_mean,precision_std,precision_ci95_low,precision_ci95_high,recall_mean,recall_std,recall_ci95_low,recall_ci95_high,f1_mean,f1_std,f1_ci95_low,f1_ci95_high,roc_auc_mean,roc_auc_std,roc_auc_ci95_low,roc_auc_ci95_high,pr_auc_mean,pr_auc_std,pr_auc_ci95_low,pr_auc_ci95_high,fpr_mean,fpr_std,fpr_ci95_low,fpr_ci95_high
hcrl,DoS,DoS,DoS,raw,autoencoder,5,0.1512262692628159,0.09537407393619958,0.0676272075187421,0.2348253310068897,0.007953376756942064,0.004446072769797319,0.004056222146040454,0.011850531367843675,0.015069891148604242,0.008427810705246884,0.007682589354338711,0.022457192942869773,0.8160563164411372,0.1178907619806988,0.7127205074195658,0.9193921254627085,0.46734301666847067,0.14398668038706394,0.34113312663006645,0.5935529067068749,0.013685743084331953,0.00528642505780439,0.009051987215746075,0.01831949895291783
hcrl,DoS,DoS,DoS,raw,elliptic_envelope,5,0.3642244749221494,0.20508144968482092,0.18446265845372015,0.5439862913905786,0.007953376756942064,0.00444607276979732,0.004056222146040453,0.011850531367843677,0.015565918423198946,0.008701639714477856,0.007938594919623482,0.02319324192677441,0.6318984513220569,0.015502590757979204,0.6183098313912739,0.6454870712528399,0.2807936951183548,0.008984659445316873,0.27291829388278444,0.2886690963539251,0.00459177959457946,0.0015778925751601938,0.0032086957713533077,0.0059748634178056126
hcrl,DoS,DoS,DoS,raw,hbos,5,0.2188679245283019,0.0,0.2188679245283019,0.2188679245283019,0.00994172094617758,0.0,0.00994172094617758,0.00994172094617758,0.01901951139531071,0.0,0.01901951139531071,0.01901951139531071,0.25062287171340214,0.0,0.25062287171340214,0.25062287171340214,0.3004832883295875,0.0,0.3004832883295875,0.3004832883295875,0.011591443610706686,0.0,0.011591443610706686,0.011591443610706686
hcrl,DoS,DoS,DoS,raw,isolation_forest,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8539905600472213,0.019860059936456533,0.8365824499776076,0.871398670116835,0.502097823204206,0.034216871938176026,0.4721054125647887,0.5320902338436233,0.0010191510807481242,0.00012139927981117032,0.0009127399202538246,0.0011255622412424237
hcrl,DoS,DoS,DoS,raw,lof,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9535203381201021,0.006860654917008055,0.9475067089403796,0.9595339672998245,0.7074168287752729,0.02561991137862795,0.684959986314581,0.7298736712359648,0.003841415612050622,0.0005800521519802245,0.003332977483460076,0.004349853740641168
hcrl,DoS,DoS,DoS,raw,one_class_svm,5,0.28428968267446064,0.03300162339022226,0.2553624843532541,0.3132168809956672,0.00994172094617758,0.0,0.00994172094617758,0.00994172094617758,0.01920430469862288,8.164116987406074e-05,0.019132743058027285,0.019275866339218475,0.9851857239066444,0.0006524014825553239,0.9846138687937072,0.9857575790195816,0.8668835847961314,0.0041007402497841225,0.8632891274851494,0.8704780421071133,0.008310001119946241,0.0014421890042334924,0.007045866721197664,0.009574135518694819
hcrl,DoS,DoS,DoS,residual,autoencoder,5,0.049965681735682624,0.017144286229545006,0.034938052277171956,0.0649933111941933,0.00994172094617758,0.0,0.00994172094617758,0.00994172094617758,0.01638991822305877,0.0008629853013238931,0.01563347825450017,0.017146358191617368,0.7655725050394702,0.08165920698833579,0.6939950542161295,0.8371499558628108,0.38182789193488753,0.05956764649621617,0.3296145476594027,0.4340412362103724,0.06725277186695039,0.020592588030005545,0.049202572613195966,0.08530297112070481
hcrl,DoS,DoS,DoS,residual,elliptic_envelope,5,0.019925292229687624,0.000352035797396774,0.019616719248078552,0.020233865211296696,0.00994172094617758,0.0,0.00994172094617758,0.00994172094617758,0.013264179541037934,7.799623299620899e-05,0.013195812828482308,0.01333254625359356,0.6765408331363413,0.0007416591457495821,0.6758907402320573,0.6771909260406253,0.3095277845163885,0.0004911393421919062,0.3090972819018068,0.30995828713097023,0.1597939298913652,0.002879536208303948,0.15726990511883288,0.16231795466389753
hcrl,DoS,DoS,DoS,residual,hbos,5,0.2529207451847174,0.0,0.2529207451847174,0.2529207451847174,0.13729859444634898,0.0,0.13729859444634898,0.13729859444634898,0.17798022441950898,0.0,0.17798022441950898,0.17798022441950898,0.7559967227846632,0.0,0.7559967227846632,0.7559967227846632,0.5119731662585943,0.0,0.5119731662585943,0.5119731662585943,0.13248964049725614,0.0,0.13248964049725614,0.13248964049725614
hcrl,DoS,DoS,DoS,residual,isolation_forest,5,0.04691229282779441,0.006421349752146226,0.04128373160297906,0.05254085405260976,0.00994172094617758,0.0,0.00994172094617758,0.00994172094617758,0.016371619634328767,0.00038753806130904567,0.01603192754633821,0.016711311722319325,0.8782965878727982,0.01550749921767981,0.8647036654873895,0.8918895102582068,0.5747076732121835,0.045560620487347034,0.5347720285655267,0.6146433178588403,0.06700638369358272,0.009368435670347543,0.058794587764904205,0.07521817962226124
hcrl,DoS,DoS,DoS,residual,lof,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8086662837784061,0.027463246437207156,0.7845936868991679,0.8327388806576443,0.4186412938131401,0.032518345620109704,0.39013770713476015,0.44714488049152,0.022690110874678017,0.005530624078751553,0.017842305126628454,0.02753791662272758
hcrl,DoS,DoS,DoS,residual,one_class_svm,5,0.06072765878254775,0.006147214193542675,0.05533938796941467,0.06611592959568084,0.00994172094617758,0.0,0.00994172094617758,0.00994172094617758,0.017067005670316066,0.0002766274290139006,0.016824531037915362,0.01730948030271677,0.817128771511117,0.0178131605634043,0.801514847848872,0.832742695173362,0.4252299308507263,0.020624911832734676,0.407151398534656,0.4433084631667966,0.05074476425131593,0.0063051580968772145,0.045218049502823675,0.05627147899980819
hcrl,Fuzzy,Fuzzy,Fuzzy,raw,autoencoder,5,0.23861984646237594,0.0824803029590746,0.16632267328763894,0.31091701963711293,0.1279320987654321,0.08975924737290222,0.04925464950130082,0.20660954802956338,0.15998017995990504,0.09809290908682557,0.07399795413099632,0.2459624057888138,0.8256383172353928,0.01322399790762955,0.8140469719991291,0.8372296624716565,0.23759406095640823,0.03258698368711474,0.20903031035963063,0.2661578115531858,0.023310479921645446,0.011676764214085018,0.01307534481399249,0.0335456150292984
hcrl,Fuzzy,Fuzzy,Fuzzy,raw,elliptic_envelope,5,0.20632424292225443,0.0074294648962737585,0.19981202981280394,0.21283645603170492,0.3864197530864198,0.10700216006249562,0.2926282244599109,0.4802112817129287,0.26528787000451454,0.016769329064234683,0.2505889049924354,0.27998683501659366,0.8405692606020801,0.013827978872824711,0.8284485027076619,0.8526900184964984,0.22847494240758034,0.0046174417083364085,0.22442757629912302,0.23252230851603767,0.10012887262230012,0.03192721046508401,0.07214343875300688,0.12811430649159336
hcrl,Fuzzy,Fuzzy,Fuzzy,raw,hbos,5,0.2908093278463649,0.0,0.2908093278463649,0.2908093278463649,0.16358024691358025,0.0,0.16358024691358025,0.16358024691358025,0.20938271604938272,0.0,0.20938271604938272,0.20938271604938272,0.7781902894956403,0.0,0.7781902894956403,0.7781902894956403,0.25280528214563375,0.0,0.25280528214563375,0.25280528214563375,0.02665085829166452,0.0,0.02665085829166452,0.02665085829166452
hcrl,Fuzzy,Fuzzy,Fuzzy,raw,isolation_forest,5,0.34429311664758494,0.00868258050282874,0.3366824992796047,0.3519037340155652,0.11234567901234567,0.010245216838549188,0.10336535050461886,0.12132600752007248,0.16923702736815732,0.011984122715610496,0.15873248065537798,0.17974157408093666,0.8801976874205684,0.011615775261435484,0.8700160114869637,0.890379363354173,0.30093129093573145,0.008840574872593186,0.29318218539661584,0.3086803964748471,0.014289396360637146,0.0011711962065694276,0.013262797622148529,0.015315995099125764
hcrl,Fuzzy,Fuzzy,Fuzzy,raw,lof,5,0.24203057802607847,0.04304800053808605,0.20429734187062415,0.2797638141815328,0.07191358024691359,0.016917339291206427,0.05708487855071585,0.08674228194311134,0.1107594971005174,0.024521321576884695,0.08926561105845117,0.13225338314258364,0.6587865711863727,0.006685427525137568,0.6529265355876692,0.6646466067850763,0.15672084567279038,0.01603386422967124,0.1426665440118479,0.17077514733373286,0.014918294757461726,0.0012288800250001082,0.013841133922801709,0.015995455592121743
hcrl,Fuzzy,Fuzzy,Fuzzy,raw,one_class_svm,5,0.43096175570287576,0.013834191437803614,0.4188355522551554,0.4430879591505961,0.39583333333333337,0.008184106263733202,0.38865964790054397,0.40300701876612277,0.4124462546626799,0.003896352294794666,0.4090309512932642,0.4158615580320956,0.6149520641575644,0.0079439282014505,0.6079889040785706,0.6219152242365582,0.22225661687574366,0.0038544855703424178,0.2188780113083412,0.22563522244314613,0.03499149440692819,0.002488116187900957,0.03281056440955903,0.03717242440429735
hcrl,Fuzzy,Fuzzy,Fuzzy,residual,autoencoder,5,0.2952260098320131,0.0958833180094601,0.21118057597687911,0.37927144368714705,0.912037037037037,0.03925717853986109,0.8776266028676066,0.9464474712064673,0.4374829060816305,0.09588475544436476,0.35343621225924976,0.5215295999040112,0.9399292409752572,0.006940651344615278,0.9338454918351007,0.9460129901154137,0.6789653003669616,0.07726260663163906,0.6112416396724706,0.7466889610614525,0.16242074333728543,0.06431980187971953,0.10604195121075576,0.2187995354638151
hcrl,Fuzzy,Fuzzy,Fuzzy,residual,elliptic_envelope,5,0.24799837870801814,0.01375763892838,0.23593927649334617,0.2600574809226901,0.8290123456790124,0.04488128190886102,0.7896721675509188,0.8683525238071059,0.38115929802657617,0.012535637817892157,0.37017132701214356,0.3921472690410088,0.9345142520392103,0.0006776248701723435,0.933920287652214,0.9351082164262067,0.6887224260337261,0.007294114167766155,0.6823288530687365,0.6951159989987158,0.16911180988710756,0.023416140577457528,0.14858665770316815,0.18963696207104697
